id,work_activity
163,Analyze and understand data to influence product or business decisions
164,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
164,Analyze and understand data to influence product or business decisions
165,Do research that advances the state of the art of machine learning
165,Build prototypes to explore applying machine learning to new areas
165,Build and/or run a machine learning service that operationally improves my product or workflows
173,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
178,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
178,Analyze and understand data to influence product or business decisions
178,Build and/or run a machine learning service that operationally improves my product or workflows
178,Experimentation and iteration to improve existing ML models
178,Build prototypes to explore applying machine learning to new areas
185,Other
186,Analyze and understand data to influence product or business decisions
186,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
194,None of these activities are an important part of my role at work
198,None of these activities are an important part of my role at work
201,Build prototypes to explore applying machine learning to new areas
201,Analyze and understand data to influence product or business decisions
201,Build and/or run a machine learning service that operationally improves my product or workflows
201,Experimentation and iteration to improve existing ML models
201,Do research that advances the state of the art of machine learning
202,Other
202,Do research that advances the state of the art of machine learning
203,Other
204,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
206,Experimentation and iteration to improve existing ML models
206,Analyze and understand data to influence product or business decisions
206,Build prototypes to explore applying machine learning to new areas
208,Build prototypes to explore applying machine learning to new areas
211,Build prototypes to explore applying machine learning to new areas
211,Experimentation and iteration to improve existing ML models
211,Analyze and understand data to influence product or business decisions
213,Analyze and understand data to influence product or business decisions
213,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
214,Build prototypes to explore applying machine learning to new areas
214,Experimentation and iteration to improve existing ML models
214,Analyze and understand data to influence product or business decisions
217,None of these activities are an important part of my role at work
220,None of these activities are an important part of my role at work
224,None of these activities are an important part of my role at work
230,Analyze and understand data to influence product or business decisions
237,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
237,Experimentation and iteration to improve existing ML models
237,Build prototypes to explore applying machine learning to new areas
237,Do research that advances the state of the art of machine learning
237,Build and/or run a machine learning service that operationally improves my product or workflows
238,Experimentation and iteration to improve existing ML models
238,Analyze and understand data to influence product or business decisions
238,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
238,Build prototypes to explore applying machine learning to new areas
238,Build and/or run a machine learning service that operationally improves my product or workflows
241,Analyze and understand data to influence product or business decisions
241,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
241,Build and/or run a machine learning service that operationally improves my product or workflows
244,Do research that advances the state of the art of machine learning
244,Analyze and understand data to influence product or business decisions
245,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
245,Experimentation and iteration to improve existing ML models
247,Analyze and understand data to influence product or business decisions
251,Analyze and understand data to influence product or business decisions
255,Build and/or run a machine learning service that operationally improves my product or workflows
255,Analyze and understand data to influence product or business decisions
255,Do research that advances the state of the art of machine learning
258,Build prototypes to explore applying machine learning to new areas
258,Analyze and understand data to influence product or business decisions
258,Experimentation and iteration to improve existing ML models
262,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
262,Analyze and understand data to influence product or business decisions
265,Other
268,Other
269,Build prototypes to explore applying machine learning to new areas
269,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
269,Analyze and understand data to influence product or business decisions
269,Experimentation and iteration to improve existing ML models
269,Build and/or run a machine learning service that operationally improves my product or workflows
270,Analyze and understand data to influence product or business decisions
270,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
272,Build prototypes to explore applying machine learning to new areas
272,Analyze and understand data to influence product or business decisions
272,Build and/or run a machine learning service that operationally improves my product or workflows
272,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
274,Analyze and understand data to influence product or business decisions
274,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
274,Build prototypes to explore applying machine learning to new areas
274,Build and/or run a machine learning service that operationally improves my product or workflows
274,Experimentation and iteration to improve existing ML models
279,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
282,None of these activities are an important part of my role at work
283,Build and/or run a machine learning service that operationally improves my product or workflows
283,Build prototypes to explore applying machine learning to new areas
283,Analyze and understand data to influence product or business decisions
283,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
283,Experimentation and iteration to improve existing ML models
283,Do research that advances the state of the art of machine learning
290,Build and/or run a machine learning service that operationally improves my product or workflows
290,Analyze and understand data to influence product or business decisions
290,Build prototypes to explore applying machine learning to new areas
290,Experimentation and iteration to improve existing ML models
291,Analyze and understand data to influence product or business decisions
297,Analyze and understand data to influence product or business decisions
299,Analyze and understand data to influence product or business decisions
304,Analyze and understand data to influence product or business decisions
309,Analyze and understand data to influence product or business decisions
311,Build and/or run a machine learning service that operationally improves my product or workflows
314,Analyze and understand data to influence product or business decisions
314,Experimentation and iteration to improve existing ML models
314,Build and/or run a machine learning service that operationally improves my product or workflows
314,Build prototypes to explore applying machine learning to new areas
319,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
319,Analyze and understand data to influence product or business decisions
321,Build and/or run a machine learning service that operationally improves my product or workflows
322,Other
327,Experimentation and iteration to improve existing ML models
327,Do research that advances the state of the art of machine learning
329,Do research that advances the state of the art of machine learning
329,Analyze and understand data to influence product or business decisions
331,Do research that advances the state of the art of machine learning
335,Experimentation and iteration to improve existing ML models
335,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
335,Analyze and understand data to influence product or business decisions
337,Experimentation and iteration to improve existing ML models
337,Build prototypes to explore applying machine learning to new areas
337,Analyze and understand data to influence product or business decisions
341,Analyze and understand data to influence product or business decisions
341,Build and/or run a machine learning service that operationally improves my product or workflows
341,Build prototypes to explore applying machine learning to new areas
342,Build prototypes to explore applying machine learning to new areas
343,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
346,Analyze and understand data to influence product or business decisions
348,Experimentation and iteration to improve existing ML models
348,Analyze and understand data to influence product or business decisions
349,None of these activities are an important part of my role at work
350,Analyze and understand data to influence product or business decisions
351,Experimentation and iteration to improve existing ML models
351,Analyze and understand data to influence product or business decisions
353,None of these activities are an important part of my role at work
361,Do research that advances the state of the art of machine learning
367,Do research that advances the state of the art of machine learning
368,None of these activities are an important part of my role at work
371,Analyze and understand data to influence product or business decisions
372,None of these activities are an important part of my role at work
373,None of these activities are an important part of my role at work
374,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
374,Build and/or run a machine learning service that operationally improves my product or workflows
374,Analyze and understand data to influence product or business decisions
374,Build prototypes to explore applying machine learning to new areas
378,Analyze and understand data to influence product or business decisions
379,Build prototypes to explore applying machine learning to new areas
379,Build and/or run a machine learning service that operationally improves my product or workflows
379,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
379,Analyze and understand data to influence product or business decisions
379,Experimentation and iteration to improve existing ML models
390,Do research that advances the state of the art of machine learning
390,Build prototypes to explore applying machine learning to new areas
390,Analyze and understand data to influence product or business decisions
390,Experimentation and iteration to improve existing ML models
390,Build and/or run a machine learning service that operationally improves my product or workflows
390,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
391,Do research that advances the state of the art of machine learning
392,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
395,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
396,None of these activities are an important part of my role at work
397,Experimentation and iteration to improve existing ML models
399,Analyze and understand data to influence product or business decisions
400,Analyze and understand data to influence product or business decisions
400,Experimentation and iteration to improve existing ML models
400,Do research that advances the state of the art of machine learning
400,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
400,Build prototypes to explore applying machine learning to new areas
403,Build prototypes to explore applying machine learning to new areas
403,Do research that advances the state of the art of machine learning
403,Experimentation and iteration to improve existing ML models
403,Analyze and understand data to influence product or business decisions
407,Experimentation and iteration to improve existing ML models
407,Build prototypes to explore applying machine learning to new areas
407,Do research that advances the state of the art of machine learning
408,Experimentation and iteration to improve existing ML models
409,Analyze and understand data to influence product or business decisions
413,None of these activities are an important part of my role at work
416,Build and/or run a machine learning service that operationally improves my product or workflows
416,Do research that advances the state of the art of machine learning
416,Analyze and understand data to influence product or business decisions
416,Experimentation and iteration to improve existing ML models
416,Build prototypes to explore applying machine learning to new areas
416,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
418,Build and/or run a machine learning service that operationally improves my product or workflows
418,Build prototypes to explore applying machine learning to new areas
419,Analyze and understand data to influence product or business decisions
421,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
421,Analyze and understand data to influence product or business decisions
421,Experimentation and iteration to improve existing ML models
426,Do research that advances the state of the art of machine learning
426,Build prototypes to explore applying machine learning to new areas
426,Experimentation and iteration to improve existing ML models
426,Build and/or run a machine learning service that operationally improves my product or workflows
427,None of these activities are an important part of my role at work
431,Build prototypes to explore applying machine learning to new areas
431,Build and/or run a machine learning service that operationally improves my product or workflows
431,Do research that advances the state of the art of machine learning
434,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
434,Analyze and understand data to influence product or business decisions
435,Analyze and understand data to influence product or business decisions
437,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
437,Analyze and understand data to influence product or business decisions
440,Other
440,Analyze and understand data to influence product or business decisions
441,Build prototypes to explore applying machine learning to new areas
441,Experimentation and iteration to improve existing ML models
441,Analyze and understand data to influence product or business decisions
441,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
441,Build and/or run a machine learning service that operationally improves my product or workflows
448,Analyze and understand data to influence product or business decisions
448,Do research that advances the state of the art of machine learning
449,Build and/or run a machine learning service that operationally improves my product or workflows
450,Analyze and understand data to influence product or business decisions
450,Experimentation and iteration to improve existing ML models
450,Do research that advances the state of the art of machine learning
450,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
450,Other
450,Build prototypes to explore applying machine learning to new areas
450,Build and/or run a machine learning service that operationally improves my product or workflows
451,Analyze and understand data to influence product or business decisions
451,Build and/or run a machine learning service that operationally improves my product or workflows
451,Do research that advances the state of the art of machine learning
451,Build prototypes to explore applying machine learning to new areas
452,Analyze and understand data to influence product or business decisions
455,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
455,Analyze and understand data to influence product or business decisions
457,Analyze and understand data to influence product or business decisions
460,Analyze and understand data to influence product or business decisions
461,Build prototypes to explore applying machine learning to new areas
462,Build prototypes to explore applying machine learning to new areas
462,Do research that advances the state of the art of machine learning
463,Analyze and understand data to influence product or business decisions
466,Do research that advances the state of the art of machine learning
466,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
466,Build and/or run a machine learning service that operationally improves my product or workflows
466,Experimentation and iteration to improve existing ML models
466,Build prototypes to explore applying machine learning to new areas
469,Analyze and understand data to influence product or business decisions
471,Build prototypes to explore applying machine learning to new areas
471,Analyze and understand data to influence product or business decisions
471,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
473,Build prototypes to explore applying machine learning to new areas
478,Do research that advances the state of the art of machine learning
478,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
478,Build and/or run a machine learning service that operationally improves my product or workflows
478,Analyze and understand data to influence product or business decisions
482,Build prototypes to explore applying machine learning to new areas
482,Analyze and understand data to influence product or business decisions
484,Experimentation and iteration to improve existing ML models
497,Analyze and understand data to influence product or business decisions
501,Build and/or run a machine learning service that operationally improves my product or workflows
501,Experimentation and iteration to improve existing ML models
501,Analyze and understand data to influence product or business decisions
501,Do research that advances the state of the art of machine learning
501,Build prototypes to explore applying machine learning to new areas
503,Other
511,Analyze and understand data to influence product or business decisions
514,Analyze and understand data to influence product or business decisions
516,Experimentation and iteration to improve existing ML models
520,Experimentation and iteration to improve existing ML models
525,Build prototypes to explore applying machine learning to new areas
525,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
525,Build and/or run a machine learning service that operationally improves my product or workflows
525,Analyze and understand data to influence product or business decisions
526,Build prototypes to explore applying machine learning to new areas
526,Analyze and understand data to influence product or business decisions
526,Do research that advances the state of the art of machine learning
530,Do research that advances the state of the art of machine learning
530,Analyze and understand data to influence product or business decisions
532,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
538,Build and/or run a machine learning service that operationally improves my product or workflows
538,Build prototypes to explore applying machine learning to new areas
539,Experimentation and iteration to improve existing ML models
539,Do research that advances the state of the art of machine learning
547,Build and/or run a machine learning service that operationally improves my product or workflows
555,Build prototypes to explore applying machine learning to new areas
555,Experimentation and iteration to improve existing ML models
558,Experimentation and iteration to improve existing ML models
558,Build prototypes to explore applying machine learning to new areas
558,Do research that advances the state of the art of machine learning
558,Build and/or run a machine learning service that operationally improves my product or workflows
558,Analyze and understand data to influence product or business decisions
558,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
559,Build prototypes to explore applying machine learning to new areas
559,Experimentation and iteration to improve existing ML models
559,Build and/or run a machine learning service that operationally improves my product or workflows
569,Do research that advances the state of the art of machine learning
569,Experimentation and iteration to improve existing ML models
569,Build and/or run a machine learning service that operationally improves my product or workflows
570,None of these activities are an important part of my role at work
574,None of these activities are an important part of my role at work
577,Experimentation and iteration to improve existing ML models
578,None of these activities are an important part of my role at work
580,Analyze and understand data to influence product or business decisions
581,Build and/or run a machine learning service that operationally improves my product or workflows
583,None of these activities are an important part of my role at work
588,None of these activities are an important part of my role at work
592,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
593,Analyze and understand data to influence product or business decisions
593,Build prototypes to explore applying machine learning to new areas
593,Do research that advances the state of the art of machine learning
594,Analyze and understand data to influence product or business decisions
594,Do research that advances the state of the art of machine learning
595,Other
597,None of these activities are an important part of my role at work
601,Analyze and understand data to influence product or business decisions
604,None of these activities are an important part of my role at work
608,None of these activities are an important part of my role at work
610,Build prototypes to explore applying machine learning to new areas
610,Build and/or run a machine learning service that operationally improves my product or workflows
611,Analyze and understand data to influence product or business decisions
612,None of these activities are an important part of my role at work
613,Analyze and understand data to influence product or business decisions
617,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
617,Analyze and understand data to influence product or business decisions
618,Do research that advances the state of the art of machine learning
618,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
618,Analyze and understand data to influence product or business decisions
618,Build and/or run a machine learning service that operationally improves my product or workflows
618,Experimentation and iteration to improve existing ML models
618,Build prototypes to explore applying machine learning to new areas
619,None of these activities are an important part of my role at work
620,Analyze and understand data to influence product or business decisions
622,Build and/or run a machine learning service that operationally improves my product or workflows
622,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
622,Analyze and understand data to influence product or business decisions
624,Analyze and understand data to influence product or business decisions
624,Build and/or run a machine learning service that operationally improves my product or workflows
624,Build prototypes to explore applying machine learning to new areas
624,Experimentation and iteration to improve existing ML models
624,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
625,Build prototypes to explore applying machine learning to new areas
625,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
625,Analyze and understand data to influence product or business decisions
627,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
627,Experimentation and iteration to improve existing ML models
630,Build and/or run a machine learning service that operationally improves my product or workflows
630,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
632,Other
633,Build prototypes to explore applying machine learning to new areas
633,Experimentation and iteration to improve existing ML models
633,Do research that advances the state of the art of machine learning
633,Analyze and understand data to influence product or business decisions
633,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
633,Build and/or run a machine learning service that operationally improves my product or workflows
634,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
634,Experimentation and iteration to improve existing ML models
634,Do research that advances the state of the art of machine learning
634,Analyze and understand data to influence product or business decisions
634,Build and/or run a machine learning service that operationally improves my product or workflows
634,Build prototypes to explore applying machine learning to new areas
635,Do research that advances the state of the art of machine learning
635,Experimentation and iteration to improve existing ML models
635,Analyze and understand data to influence product or business decisions
635,Build and/or run a machine learning service that operationally improves my product or workflows
641,Analyze and understand data to influence product or business decisions
641,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
642,Do research that advances the state of the art of machine learning
642,Build and/or run a machine learning service that operationally improves my product or workflows
642,Experimentation and iteration to improve existing ML models
642,Build prototypes to explore applying machine learning to new areas
644,Analyze and understand data to influence product or business decisions
644,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
644,Build prototypes to explore applying machine learning to new areas
644,Build and/or run a machine learning service that operationally improves my product or workflows
645,Do research that advances the state of the art of machine learning
645,Analyze and understand data to influence product or business decisions
647,Build and/or run a machine learning service that operationally improves my product or workflows
647,Analyze and understand data to influence product or business decisions
648,Other
652,None of these activities are an important part of my role at work
653,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
654,Analyze and understand data to influence product or business decisions
655,Analyze and understand data to influence product or business decisions
656,Do research that advances the state of the art of machine learning
656,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
656,Build and/or run a machine learning service that operationally improves my product or workflows
664,Build and/or run a machine learning service that operationally improves my product or workflows
664,Analyze and understand data to influence product or business decisions
665,None of these activities are an important part of my role at work
666,Analyze and understand data to influence product or business decisions
668,Build and/or run a machine learning service that operationally improves my product or workflows
676,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
676,Analyze and understand data to influence product or business decisions
680,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
680,Build and/or run a machine learning service that operationally improves my product or workflows
680,Analyze and understand data to influence product or business decisions
680,Do research that advances the state of the art of machine learning
680,Experimentation and iteration to improve existing ML models
680,Build prototypes to explore applying machine learning to new areas
688,Build prototypes to explore applying machine learning to new areas
693,Analyze and understand data to influence product or business decisions
694,Analyze and understand data to influence product or business decisions
694,Build prototypes to explore applying machine learning to new areas
699,Experimentation and iteration to improve existing ML models
699,Analyze and understand data to influence product or business decisions
699,Build prototypes to explore applying machine learning to new areas
704,None of these activities are an important part of my role at work
706,Build and/or run a machine learning service that operationally improves my product or workflows
706,Build prototypes to explore applying machine learning to new areas
706,Experimentation and iteration to improve existing ML models
706,Do research that advances the state of the art of machine learning
707,Build prototypes to explore applying machine learning to new areas
707,Do research that advances the state of the art of machine learning
707,Analyze and understand data to influence product or business decisions
707,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
707,Other
707,Experimentation and iteration to improve existing ML models
707,Build and/or run a machine learning service that operationally improves my product or workflows
708,Do research that advances the state of the art of machine learning
708,Experimentation and iteration to improve existing ML models
712,Analyze and understand data to influence product or business decisions
714,Analyze and understand data to influence product or business decisions
715,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
715,Do research that advances the state of the art of machine learning
715,Analyze and understand data to influence product or business decisions
715,Experimentation and iteration to improve existing ML models
716,Build and/or run a machine learning service that operationally improves my product or workflows
724,Analyze and understand data to influence product or business decisions
724,Other
726,None of these activities are an important part of my role at work
727,Do research that advances the state of the art of machine learning
729,Build prototypes to explore applying machine learning to new areas
734,Build prototypes to explore applying machine learning to new areas
738,None of these activities are an important part of my role at work
741,Build prototypes to explore applying machine learning to new areas
741,Build and/or run a machine learning service that operationally improves my product or workflows
741,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
743,Build prototypes to explore applying machine learning to new areas
743,Build and/or run a machine learning service that operationally improves my product or workflows
743,Experimentation and iteration to improve existing ML models
743,Analyze and understand data to influence product or business decisions
744,Other
754,Build and/or run a machine learning service that operationally improves my product or workflows
754,Analyze and understand data to influence product or business decisions
754,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
756,Build prototypes to explore applying machine learning to new areas
756,Analyze and understand data to influence product or business decisions
762,Analyze and understand data to influence product or business decisions
769,Build prototypes to explore applying machine learning to new areas
769,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
769,Build and/or run a machine learning service that operationally improves my product or workflows
771,None of these activities are an important part of my role at work
772,Build and/or run a machine learning service that operationally improves my product or workflows
772,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
772,Analyze and understand data to influence product or business decisions
773,Build prototypes to explore applying machine learning to new areas
773,Analyze and understand data to influence product or business decisions
773,Build and/or run a machine learning service that operationally improves my product or workflows
775,Build prototypes to explore applying machine learning to new areas
775,Build and/or run a machine learning service that operationally improves my product or workflows
775,Analyze and understand data to influence product or business decisions
775,Experimentation and iteration to improve existing ML models
775,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"
776,Analyze and understand data to influence product or business decisions
777,Experimentation and iteration to improve existing ML models
777,Do research that advances the state of the art of machine learning
