id,course_platform
144,Udemy
145,Udemy
145,Coursera
147,University Courses (resulting in a university degree)
148,University Courses (resulting in a university degree)
148,Udacity
148,LinkedIn Learning
148,Udemy
148,edX
148,Fast.ai
148,DataCamp
148,Coursera
148,Kaggle Learn Courses
149,University Courses (resulting in a university degree)
149,LinkedIn Learning
150,Other
151,Udemy
152,Udacity
152,Coursera
152,Fast.ai
153,Other
154,DataCamp
154,University Courses (resulting in a university degree)
155,Coursera
156,University Courses (resulting in a university degree)
157,Coursera
158,University Courses (resulting in a university degree)
158,Other
159,DataCamp
159,Coursera
160,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
161,Other
162,Kaggle Learn Courses
162,Coursera
164,LinkedIn Learning
164,Kaggle Learn Courses
166,DataCamp
166,Other
167,Coursera
167,Udemy
167,DataCamp
168,Kaggle Learn Courses
168,LinkedIn Learning
168,University Courses (resulting in a university degree)
168,Coursera
169,University Courses (resulting in a university degree)
170,Udemy
170,Coursera
170,LinkedIn Learning
170,Udacity
171,Udacity
171,DataCamp
172,DataCamp
173,Kaggle Learn Courses
174,LinkedIn Learning
174,University Courses (resulting in a university degree)
174,Coursera
174,Kaggle Learn Courses
177,Coursera
178,Coursera
178,Kaggle Learn Courses
178,Udemy
178,Udacity
179,Coursera
180,Coursera
181,Other
181,University Courses (resulting in a university degree)
182,Coursera
182,Other
182,Kaggle Learn Courses
183,Coursera
183,University Courses (resulting in a university degree)
184,Udemy
185,Coursera
185,Fast.ai
186,Other
187,Coursera
188,University Courses (resulting in a university degree)
188,DataCamp
188,LinkedIn Learning
189,Coursera
190,LinkedIn Learning
190,Coursera
191,Udemy
191,Coursera
192,Udemy
192,Coursera
193,Kaggle Learn Courses
193,Coursera
193,Udemy
195,University Courses (resulting in a university degree)
195,Coursera
196,University Courses (resulting in a university degree)
198,Kaggle Learn Courses
198,Coursera
199,University Courses (resulting in a university degree)
199,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
199,Kaggle Learn Courses
200,Other
201,LinkedIn Learning
201,University Courses (resulting in a university degree)
201,Kaggle Learn Courses
203,University Courses (resulting in a university degree)
203,edX
203,Udacity
203,Fast.ai
203,Coursera
203,Udemy
203,DataCamp
204,Kaggle Learn Courses
205,Udemy
205,DataCamp
205,Coursera
206,Udacity
206,DataCamp
206,Udemy
207,Other
207,University Courses (resulting in a university degree)
208,Udemy
208,Coursera
209,University Courses (resulting in a university degree)
209,Kaggle Learn Courses
210,University Courses (resulting in a university degree)
210,Coursera
211,Udemy
211,DataCamp
212,University Courses (resulting in a university degree)
213,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
213,Udemy
214,Other
215,Fast.ai
215,University Courses (resulting in a university degree)
215,Coursera
215,DataCamp
217,Other
218,Udemy
218,Kaggle Learn Courses
218,Coursera
219,Coursera
220,Coursera
221,Coursera
221,Udemy
222,DataCamp
222,Coursera
222,Kaggle Learn Courses
223,Coursera
223,Other
223,Kaggle Learn Courses
223,LinkedIn Learning
223,DataCamp
224,DataCamp
226,University Courses (resulting in a university degree)
227,University Courses (resulting in a university degree)
229,University Courses (resulting in a university degree)
229,Kaggle Learn Courses
229,Fast.ai
229,Coursera
229,Udacity
230,LinkedIn Learning
230,Coursera
232,University Courses (resulting in a university degree)
233,Kaggle Learn Courses
233,Coursera
234,University Courses (resulting in a university degree)
234,Coursera
234,Kaggle Learn Courses
234,Udemy
236,University Courses (resulting in a university degree)
236,Kaggle Learn Courses
236,Udemy
236,Coursera
238,Coursera
238,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
239,Coursera
240,University Courses (resulting in a university degree)
240,Coursera
241,Udemy
243,Udemy
243,edX
243,Coursera
243,Kaggle Learn Courses
243,LinkedIn Learning
244,Coursera
245,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
246,Other
247,Coursera
248,University Courses (resulting in a university degree)
249,University Courses (resulting in a university degree)
250,Kaggle Learn Courses
250,Coursera
251,Other
252,Udacity
252,Udemy
252,edX
252,Coursera
253,Coursera
253,Kaggle Learn Courses
253,DataCamp
254,Kaggle Learn Courses
254,Coursera
254,DataCamp
254,Other
255,Udemy
255,LinkedIn Learning
256,Kaggle Learn Courses
257,Udemy
257,Other
257,Coursera
257,Udacity
258,Udemy
259,Fast.ai
259,Coursera
259,Kaggle Learn Courses
260,University Courses (resulting in a university degree)
260,LinkedIn Learning
262,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
262,edX
262,Udacity
262,Udemy
262,Kaggle Learn Courses
262,Coursera
264,LinkedIn Learning
264,Kaggle Learn Courses
264,DataCamp
264,Udacity
264,Coursera
264,Udemy
265,edX
266,Other
266,Udemy
266,LinkedIn Learning
267,Udemy
267,Coursera
267,University Courses (resulting in a university degree)
267,LinkedIn Learning
267,Udacity
268,Other
269,Kaggle Learn Courses
269,edX
269,Coursera
270,Coursera
271,Other
272,Coursera
274,LinkedIn Learning
274,Coursera
274,DataCamp
274,Kaggle Learn Courses
274,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
274,University Courses (resulting in a university degree)
275,Fast.ai
275,University Courses (resulting in a university degree)
275,Coursera
275,Kaggle Learn Courses
275,LinkedIn Learning
276,LinkedIn Learning
276,Udemy
276,University Courses (resulting in a university degree)
278,LinkedIn Learning
279,University Courses (resulting in a university degree)
280,Coursera
280,edX
280,Kaggle Learn Courses
280,LinkedIn Learning
280,Udemy
280,DataCamp
281,Coursera
281,Udemy
281,Kaggle Learn Courses
282,LinkedIn Learning
282,Kaggle Learn Courses
282,Other
282,Udemy
284,Coursera
284,Udemy
285,University Courses (resulting in a university degree)
286,DataCamp
287,Coursera
287,Kaggle Learn Courses
288,Coursera
289,Kaggle Learn Courses
290,Coursera
290,edX
291,Other
292,Kaggle Learn Courses
292,Udemy
293,University Courses (resulting in a university degree)
294,University Courses (resulting in a university degree)
294,edX
294,DataCamp
294,Coursera
295,University Courses (resulting in a university degree)
296,Kaggle Learn Courses
296,Coursera
297,Kaggle Learn Courses
297,Coursera
298,LinkedIn Learning
298,Other
299,DataCamp
299,edX
300,University Courses (resulting in a university degree)
300,Coursera
300,Udemy
301,Coursera
301,University Courses (resulting in a university degree)
301,Udemy
301,Kaggle Learn Courses
302,edX
302,Coursera
303,Coursera
305,Udemy
305,DataCamp
305,edX
305,Coursera
305,LinkedIn Learning
306,Other
307,Other
308,Other
308,University Courses (resulting in a university degree)
308,Udemy
309,Coursera
309,Udacity
309,DataCamp
309,Udemy
310,Kaggle Learn Courses
311,Kaggle Learn Courses
311,Coursera
312,Other
313,Kaggle Learn Courses
314,Other
315,University Courses (resulting in a university degree)
317,Coursera
317,University Courses (resulting in a university degree)
317,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
318,Other
319,Udemy
319,Coursera
320,Kaggle Learn Courses
321,Kaggle Learn Courses
321,Udemy
322,LinkedIn Learning
323,Udemy
323,Coursera
324,Kaggle Learn Courses
325,Coursera
326,Kaggle Learn Courses
326,Coursera
327,Kaggle Learn Courses
327,Udemy
328,edX
328,University Courses (resulting in a university degree)
328,Coursera
329,Udacity
330,Other
330,Coursera
331,Other
333,Udemy
333,DataCamp
334,Other
335,DataCamp
336,Udemy
336,University Courses (resulting in a university degree)
336,Coursera
336,LinkedIn Learning
337,Coursera
337,Udacity
337,Udemy
338,DataCamp
338,Kaggle Learn Courses
338,Udemy
338,Coursera
339,DataCamp
339,Fast.ai
339,Udacity
339,Coursera
339,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
339,Udemy
339,LinkedIn Learning
339,Kaggle Learn Courses
339,edX
339,University Courses (resulting in a university degree)
340,University Courses (resulting in a university degree)
340,Other
341,Kaggle Learn Courses
341,University Courses (resulting in a university degree)
341,Udemy
341,Coursera
341,DataCamp
342,Udacity
342,DataCamp
342,University Courses (resulting in a university degree)
342,LinkedIn Learning
342,Coursera
343,Other
343,Kaggle Learn Courses
343,Coursera
344,University Courses (resulting in a university degree)
344,DataCamp
345,University Courses (resulting in a university degree)
346,Coursera
346,LinkedIn Learning
346,Kaggle Learn Courses
346,edX
347,University Courses (resulting in a university degree)
348,LinkedIn Learning
348,University Courses (resulting in a university degree)
348,DataCamp
348,Coursera
348,Udemy
348,Kaggle Learn Courses
349,Fast.ai
349,Udemy
350,University Courses (resulting in a university degree)
350,Kaggle Learn Courses
350,Other
351,Udacity
351,Coursera
351,DataCamp
351,Udemy
351,Kaggle Learn Courses
352,LinkedIn Learning
352,Fast.ai
352,Kaggle Learn Courses
354,Udacity
354,Coursera
355,LinkedIn Learning
355,edX
355,Kaggle Learn Courses
356,University Courses (resulting in a university degree)
357,edX
357,Udemy
357,Kaggle Learn Courses
360,Coursera
361,Coursera
362,University Courses (resulting in a university degree)
363,University Courses (resulting in a university degree)
365,Other
365,Udemy
365,Coursera
365,Kaggle Learn Courses
366,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
367,LinkedIn Learning
367,Kaggle Learn Courses
368,Other
368,DataCamp
368,University Courses (resulting in a university degree)
369,Kaggle Learn Courses
370,University Courses (resulting in a university degree)
371,edX
371,Coursera
371,University Courses (resulting in a university degree)
372,Other
373,Udemy
373,Kaggle Learn Courses
374,DataCamp
374,Kaggle Learn Courses
374,Coursera
374,Udemy
374,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
375,Other
376,Other
376,Coursera
376,edX
376,DataCamp
377,Coursera
378,Other
379,Udacity
379,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
379,Coursera
379,Kaggle Learn Courses
379,University Courses (resulting in a university degree)
379,Other
380,Coursera
381,edX
382,Kaggle Learn Courses
382,Udemy
382,University Courses (resulting in a university degree)
383,Coursera
385,Other
385,Coursera
386,University Courses (resulting in a university degree)
387,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
387,University Courses (resulting in a university degree)
387,Coursera
387,Kaggle Learn Courses
388,University Courses (resulting in a university degree)
389,Other
389,DataCamp
390,Kaggle Learn Courses
390,Udemy
390,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
390,LinkedIn Learning
391,Coursera
391,Other
391,Kaggle Learn Courses
392,Other
393,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
393,DataCamp
393,Kaggle Learn Courses
394,DataCamp
394,Coursera
394,Kaggle Learn Courses
394,LinkedIn Learning
395,Udacity
395,Kaggle Learn Courses
395,Udemy
396,Udacity
397,Udacity
397,Coursera
398,Kaggle Learn Courses
398,University Courses (resulting in a university degree)
399,Udemy
399,Other
399,University Courses (resulting in a university degree)
400,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
400,Coursera
400,LinkedIn Learning
401,Coursera
402,Udemy
402,University Courses (resulting in a university degree)
402,Coursera
402,DataCamp
402,Kaggle Learn Courses
403,Udemy
403,Other
404,University Courses (resulting in a university degree)
404,LinkedIn Learning
405,Coursera
406,Coursera
407,Other
408,Udemy
408,Coursera
408,Kaggle Learn Courses
409,University Courses (resulting in a university degree)
409,Coursera
409,Kaggle Learn Courses
409,Udemy
410,LinkedIn Learning
410,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
410,Udemy
410,edX
410,Other
410,University Courses (resulting in a university degree)
410,Coursera
411,Coursera
411,Other
411,University Courses (resulting in a university degree)
411,Udemy
412,edX
412,Kaggle Learn Courses
412,University Courses (resulting in a university degree)
414,University Courses (resulting in a university degree)
414,Coursera
415,Other
416,Udacity
416,Fast.ai
416,Kaggle Learn Courses
416,Udemy
416,Coursera
416,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
417,Kaggle Learn Courses
418,Coursera
418,University Courses (resulting in a university degree)
419,Udemy
420,Udemy
420,Other
421,Coursera
421,Fast.ai
422,Kaggle Learn Courses
422,Other
422,DataCamp
423,Coursera
424,Other
425,University Courses (resulting in a university degree)
426,University Courses (resulting in a university degree)
426,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
426,Coursera
427,DataCamp
427,Udemy
427,Coursera
427,Kaggle Learn Courses
428,Coursera
429,edX
429,Kaggle Learn Courses
429,Coursera
429,Fast.ai
429,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
429,University Courses (resulting in a university degree)
429,Udemy
429,Udacity
430,Other
430,University Courses (resulting in a university degree)
431,Fast.ai
432,Other
433,Kaggle Learn Courses
433,Coursera
433,DataCamp
433,LinkedIn Learning
435,Other
436,Kaggle Learn Courses
436,DataCamp
437,Coursera
437,Other
437,University Courses (resulting in a university degree)
437,DataCamp
438,Coursera
438,edX
438,Udemy
439,Coursera
440,DataCamp
440,Udacity
440,Other
441,Fast.ai
441,University Courses (resulting in a university degree)
442,Udemy
443,University Courses (resulting in a university degree)
443,DataCamp
444,Kaggle Learn Courses
445,LinkedIn Learning
445,Udemy
446,Udemy
447,Kaggle Learn Courses
447,LinkedIn Learning
447,Fast.ai
447,Coursera
448,University Courses (resulting in a university degree)
449,Udacity
449,Udemy
449,Other
450,DataCamp
450,Coursera
451,Udemy
451,Coursera
451,University Courses (resulting in a university degree)
451,LinkedIn Learning
451,DataCamp
451,Kaggle Learn Courses
451,edX
452,edX
452,Coursera
453,Kaggle Learn Courses
455,Other
456,Udemy
457,DataCamp
457,Other
458,Kaggle Learn Courses
458,DataCamp
458,Coursera
458,edX
461,Udemy
461,Coursera
462,Coursera
462,Kaggle Learn Courses
463,Udemy
463,Udacity
463,edX
464,Kaggle Learn Courses
465,Other
466,Coursera
467,University Courses (resulting in a university degree)
468,Udemy
468,Kaggle Learn Courses
468,Coursera
469,LinkedIn Learning
469,DataCamp
469,University Courses (resulting in a university degree)
470,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
470,Udemy
470,Kaggle Learn Courses
471,Fast.ai
471,Udacity
471,edX
471,Coursera
471,DataCamp
471,Kaggle Learn Courses
472,Other
472,University Courses (resulting in a university degree)
473,Udemy
474,edX
474,University Courses (resulting in a university degree)
475,Kaggle Learn Courses
475,edX
475,DataCamp
475,University Courses (resulting in a university degree)
475,Coursera
476,Other
477,Other
477,Coursera
477,Udacity
478,Udemy
478,University Courses (resulting in a university degree)
478,Coursera
478,Udacity
478,DataCamp
478,edX
479,Other
479,Udacity
480,Coursera
480,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
480,University Courses (resulting in a university degree)
481,University Courses (resulting in a university degree)
481,Udacity
481,DataCamp
482,Coursera
482,Kaggle Learn Courses
482,edX
482,Udemy
482,DataCamp
482,University Courses (resulting in a university degree)
483,Other
483,Kaggle Learn Courses
483,DataCamp
484,University Courses (resulting in a university degree)
484,Coursera
488,Coursera
488,LinkedIn Learning
489,Kaggle Learn Courses
489,Coursera
490,University Courses (resulting in a university degree)
490,DataCamp
491,Udemy
491,Coursera
492,University Courses (resulting in a university degree)
492,Other
493,University Courses (resulting in a university degree)
493,DataCamp
494,Fast.ai
495,Coursera
496,Udemy
497,Udemy
497,Udacity
497,Coursera
497,DataCamp
498,University Courses (resulting in a university degree)
498,Udacity
498,DataCamp
498,Coursera
501,University Courses (resulting in a university degree)
502,edX
502,Other
503,Other
504,DataCamp
504,Udacity
504,Udemy
504,Kaggle Learn Courses
505,Coursera
505,Udacity
505,DataCamp
506,University Courses (resulting in a university degree)
507,Coursera
507,LinkedIn Learning
507,Kaggle Learn Courses
507,Udemy
507,DataCamp
508,Coursera
509,Udemy
509,Kaggle Learn Courses
509,LinkedIn Learning
509,Coursera
510,Coursera
510,DataCamp
510,Udacity
510,LinkedIn Learning
510,Udemy
510,Kaggle Learn Courses
511,Udemy
511,Kaggle Learn Courses
512,Coursera
512,University Courses (resulting in a university degree)
512,LinkedIn Learning
512,DataCamp
513,Coursera
513,University Courses (resulting in a university degree)
514,Other
514,Udemy
515,Udacity
515,Coursera
515,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
515,University Courses (resulting in a university degree)
515,Kaggle Learn Courses
515,Udemy
515,DataCamp
516,Other
517,Other
518,Coursera
519,University Courses (resulting in a university degree)
520,Kaggle Learn Courses
521,Udemy
522,University Courses (resulting in a university degree)
522,Other
523,Other
523,Coursera
524,LinkedIn Learning
524,University Courses (resulting in a university degree)
524,Kaggle Learn Courses
525,Coursera
527,Udemy
527,Other
528,Kaggle Learn Courses
529,Kaggle Learn Courses
530,Coursera
531,University Courses (resulting in a university degree)
531,Coursera
531,Kaggle Learn Courses
532,Kaggle Learn Courses
532,Coursera
532,Udemy
532,LinkedIn Learning
533,Coursera
533,Kaggle Learn Courses
534,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
535,Kaggle Learn Courses
535,DataCamp
535,edX
536,Other
536,Kaggle Learn Courses
537,Other
537,Coursera
538,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
538,Udemy
538,Coursera
539,Udemy
539,University Courses (resulting in a university degree)
540,Coursera
541,edX
542,Kaggle Learn Courses
542,Coursera
543,Coursera
543,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
543,University Courses (resulting in a university degree)
544,University Courses (resulting in a university degree)
547,Other
548,Coursera
548,DataCamp
550,Kaggle Learn Courses
550,University Courses (resulting in a university degree)
551,Coursera
551,Udemy
552,Coursera
552,Other
552,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
552,University Courses (resulting in a university degree)
552,Udemy
552,Kaggle Learn Courses
552,edX
552,LinkedIn Learning
552,Fast.ai
552,Udacity
552,DataCamp
553,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
554,Kaggle Learn Courses
554,Coursera
554,Other
554,Udemy
555,DataCamp
555,University Courses (resulting in a university degree)
555,Coursera
555,Fast.ai
556,Other
557,Other
558,Coursera
559,Fast.ai
559,Coursera
560,DataCamp
560,Other
560,Kaggle Learn Courses
562,Udemy
562,Coursera
563,Coursera
564,Other
564,Kaggle Learn Courses
566,Other
567,Coursera
567,University Courses (resulting in a university degree)
567,edX
567,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
567,Kaggle Learn Courses
567,LinkedIn Learning
569,Coursera
569,Fast.ai
570,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
570,Coursera
571,University Courses (resulting in a university degree)
572,Coursera
573,Udemy
573,Coursera
575,University Courses (resulting in a university degree)
576,University Courses (resulting in a university degree)
578,Kaggle Learn Courses
578,DataCamp
579,Udacity
579,Kaggle Learn Courses
579,Coursera
579,Udemy
580,Udemy
581,Kaggle Learn Courses
581,LinkedIn Learning
581,Other
582,Coursera
582,LinkedIn Learning
583,Coursera
583,edX
583,Kaggle Learn Courses
583,Udacity
584,LinkedIn Learning
584,Coursera
584,Kaggle Learn Courses
585,Coursera
585,DataCamp
585,Udemy
586,University Courses (resulting in a university degree)
586,Udemy
586,Coursera
587,Other
588,Coursera
590,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
590,Kaggle Learn Courses
590,Other
590,edX
591,University Courses (resulting in a university degree)
591,Udemy
591,Udacity
591,Coursera
592,Udemy
593,University Courses (resulting in a university degree)
594,Other
595,Other
596,Other
597,Coursera
598,University Courses (resulting in a university degree)
599,Kaggle Learn Courses
599,University Courses (resulting in a university degree)
599,Other
601,Udacity
601,Coursera
601,Kaggle Learn Courses
601,edX
602,Kaggle Learn Courses
602,LinkedIn Learning
602,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
603,Udemy
603,Coursera
605,Other
606,Coursera
607,Other
609,Udacity
610,Other
612,Other
613,Udemy
613,Coursera
614,Other
614,Coursera
614,Udemy
614,University Courses (resulting in a university degree)
615,Coursera
615,University Courses (resulting in a university degree)
616,University Courses (resulting in a university degree)
617,Other
618,Kaggle Learn Courses
619,LinkedIn Learning
619,Kaggle Learn Courses
619,Coursera
619,Udemy
620,University Courses (resulting in a university degree)
620,Kaggle Learn Courses
621,Other
622,University Courses (resulting in a university degree)
623,LinkedIn Learning
623,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
623,University Courses (resulting in a university degree)
623,Coursera
624,Coursera
624,Other
625,Other
625,Coursera
625,edX
625,Kaggle Learn Courses
626,Coursera
626,Udemy
626,Udacity
626,Kaggle Learn Courses
626,edX
627,LinkedIn Learning
627,Udacity
627,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
627,edX
627,Coursera
627,DataCamp
627,Udemy
628,Other
629,Udemy
629,University Courses (resulting in a university degree)
629,DataCamp
629,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
630,Udacity
630,Coursera
631,University Courses (resulting in a university degree)
631,Kaggle Learn Courses
631,Coursera
633,Coursera
633,University Courses (resulting in a university degree)
633,Kaggle Learn Courses
633,Udemy
633,LinkedIn Learning
633,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
633,DataCamp
634,Coursera
634,Kaggle Learn Courses
635,Coursera
635,DataCamp
635,edX
635,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
635,LinkedIn Learning
635,Udacity
635,Udemy
635,Kaggle Learn Courses
636,LinkedIn Learning
636,University Courses (resulting in a university degree)
636,DataCamp
637,Udacity
637,Coursera
