id,framework
57, Tidymodels 
57, Fast.ai 
58,  Scikit-learn 
58, Tidymodels 
58, Fast.ai 
58, LightGBM 
58, Keras 
58, Xgboost 
58,  TensorFlow 
58, CatBoost 
58, PyTorch 
58, Huggingface 
60, Tidymodels 
60, Caret 
63,  Scikit-learn 
63,  TensorFlow 
65,  TensorFlow 
65, Xgboost 
65, Keras 
65,  Scikit-learn 
68, PyTorch 
68, Xgboost 
68,  TensorFlow 
68, Keras 
68,  Scikit-learn 
71,  TensorFlow 
73,  Scikit-learn 
77, JAX 
77, PyTorch 
77,  TensorFlow 
78, Keras 
78,  TensorFlow 
81,  TensorFlow 
81, Keras 
81, Xgboost 
81, PyTorch 
81,  Scikit-learn 
82, Xgboost 
82,  Scikit-learn 
82, Fast.ai 
82, PyTorch 
84, PyTorch 
84, Huggingface 
84, Keras 
84, Xgboost 
84, LightGBM 
84,  Scikit-learn 
86,  Scikit-learn 
87, JAX 
87,  TensorFlow 
87, Keras 
87,  Scikit-learn 
88,  Scikit-learn 
88, Xgboost 
89,  TensorFlow 
90,  TensorFlow 
90, Keras 
90,  Scikit-learn 
93,  Scikit-learn 
97, PyTorch 
97,  TensorFlow 
99,  TensorFlow 
99,  Scikit-learn 
100, Keras 
100,  Scikit-learn 
100,  TensorFlow 
102, Keras 
102,  Scikit-learn 
103, PyTorch Lightning 
103,  TensorFlow 
103,  Scikit-learn 
103, Keras 
103, PyTorch 
105, Xgboost 
105,  Scikit-learn 
105,  TensorFlow 
105, Keras 
105, Huggingface 
106,  Scikit-learn 
106,  TensorFlow 
106, Keras 
106, Fast.ai 
107, Caret 
107, LightGBM 
107, Xgboost 
107,  TensorFlow 
107, Keras 
109,  TensorFlow 
109, PyTorch 
109,  Scikit-learn 
109, Keras 
111, Xgboost 
111, Huggingface 
111, CatBoost 
111,  Scikit-learn 
111,  TensorFlow 
111, PyTorch 
111, Keras 
114, Keras 
114,  Scikit-learn 
114,  TensorFlow 
115,  Scikit-learn 
115, Keras 
115, Xgboost 
115, Huggingface 
115, PyTorch Lightning 
121,  Scikit-learn 
123, PyTorch 
123,  TensorFlow 
123,  Scikit-learn 
123, Keras 
124, Keras 
124, PyTorch 
124, LightGBM 
124,  Scikit-learn 
124, Xgboost 
124,  TensorFlow 
127, LightGBM 
127, Xgboost 
127,  Scikit-learn 
128, Tidymodels 
128, Huggingface 
128,  Scikit-learn 
128, Fast.ai 
130,  Scikit-learn 
130, Keras 
130,  TensorFlow 
130, PyTorch 
130, Xgboost 
132, PyTorch 
134, Keras 
134, Huggingface 
134, Fast.ai 
134, Caret 
134, LightGBM 
134,  Scikit-learn 
134, Xgboost 
134,  TensorFlow 
136,  TensorFlow 
136, PyTorch 
136, Keras 
136, Huggingface 
136,  Scikit-learn 
136, Xgboost 
137, Xgboost 
137,  Scikit-learn 
137, Keras 
139, Keras 
139,  TensorFlow 
139, LightGBM 
139,  Scikit-learn 
140, Keras 
140,  Scikit-learn 
141,  Scikit-learn 
142,  Scikit-learn 
142, PyTorch 
142, Keras 
148, Xgboost 
148,  TensorFlow 
148,  Scikit-learn 
148, CatBoost 
148, LightGBM 
148, Keras 
148, Caret 
151, PyTorch 
151,  TensorFlow 
152,  Scikit-learn 
152,  TensorFlow 
153,  TensorFlow 
153, Xgboost 
153, Keras 
153,  Scikit-learn 
153,Other
154,  Scikit-learn 
156, PyTorch 
156, PyTorch Lightning 
156,  TensorFlow 
160,  Scikit-learn 
161, LightGBM 
161,  Scikit-learn 
161, PyTorch 
161, Keras 
161,  TensorFlow 
164,  Scikit-learn 
165,  TensorFlow 
165,  Scikit-learn 
166, CatBoost 
168, Xgboost 
168,  Scikit-learn 
168,  TensorFlow 
168, LightGBM 
168, CatBoost 
170,  Scikit-learn 
171,  Scikit-learn 
175,  Scikit-learn 
177,  Scikit-learn 
177, PyTorch 
177, Keras 
177,  TensorFlow 
178,  Scikit-learn 
178,  TensorFlow 
178, Keras 
181,  TensorFlow 
183, Xgboost 
183,  Scikit-learn 
185, Xgboost 
185, Caret 
186,  Scikit-learn 
188, Xgboost 
188,  Scikit-learn 
189,Other
192, JAX 
192,  Scikit-learn 
192,  TensorFlow 
192, Keras 
193, Xgboost 
193,  Scikit-learn 
194,  TensorFlow 
194,  Scikit-learn 
195,  Scikit-learn 
195,  TensorFlow 
195, Keras 
195, PyTorch 
196, Xgboost 
196,  Scikit-learn 
196, Keras 
196,  TensorFlow 
199, CatBoost 
199, Huggingface 
199, Tidymodels 
199,  TensorFlow 
199, Xgboost 
199, LightGBM 
199, Caret 
201,  Scikit-learn 
201,  TensorFlow 
201,Other
201, Xgboost 
201, PyTorch 
203, Xgboost 
203,  Scikit-learn 
203,  TensorFlow 
204,  Scikit-learn 
206, Xgboost 
206, LightGBM 
206,  Scikit-learn 
207,  TensorFlow 
207,  Scikit-learn 
208,  TensorFlow 
209, LightGBM 
209, PyTorch 
209,  Scikit-learn 
209, Xgboost 
210,Other
211,  Scikit-learn 
211, Tidymodels 
214,  Scikit-learn 
214, Keras 
215,  Scikit-learn 
215, PyTorch 
216,Other
216,  Scikit-learn 
216,  TensorFlow 
220, Keras 
220, LightGBM 
220,  Scikit-learn 
220,  TensorFlow 
222, Xgboost 
222,  Scikit-learn 
222,  TensorFlow 
222, Keras 
223, LightGBM 
223, PyTorch 
223, Keras 
223,Other
223,  TensorFlow 
223, PyTorch Lightning 
223, Xgboost 
223,  Scikit-learn 
226,  Scikit-learn 
226, Keras 
226,  TensorFlow 
229, CatBoost 
229, Xgboost 
229,  Scikit-learn 
229, Keras 
229,  TensorFlow 
232, PyTorch 
232,  Scikit-learn 
232, Keras 
232,  TensorFlow 
234,  Scikit-learn 
234, Keras 
234,  TensorFlow 
236, PyTorch 
236,  Scikit-learn 
236, Xgboost 
237, Keras 
237,  TensorFlow 
237,  Scikit-learn 
238,  TensorFlow 
238, PyTorch 
238, Xgboost 
238, Keras 
239,  Scikit-learn 
239, LightGBM 
239, Xgboost 
240, PyTorch 
240,  TensorFlow 
240, Keras 
240,  Scikit-learn 
241,  Scikit-learn 
241, Huggingface 
241, PyTorch 
243, PyTorch 
243,  TensorFlow 
244,  Scikit-learn 
245, Huggingface 
245,  Scikit-learn 
246,  Scikit-learn 
246, Keras 
246,  TensorFlow 
248,  Scikit-learn 
248, Caret 
249,  Scikit-learn 
251, Xgboost 
251,  Scikit-learn 
253, Keras 
253,  TensorFlow 
253,  Scikit-learn 
254, Keras 
254,  Scikit-learn 
255,  Scikit-learn 
255, Keras 
255,  TensorFlow 
257,  Scikit-learn 
257,  TensorFlow 
257, PyTorch 
257, Keras 
258, CatBoost 
258,  Scikit-learn 
259,  Scikit-learn 
259,  TensorFlow 
259, LightGBM 
259, Xgboost 
259, Keras 
262, Keras 
262,  Scikit-learn 
262, Xgboost 
264, PyTorch 
264,  Scikit-learn 
264,  TensorFlow 
264, Keras 
265, Caret 
267,  Scikit-learn 
267, Caret 
267, Keras 
267, PyTorch Lightning 
267,  TensorFlow 
268,  TensorFlow 
268, LightGBM 
268,  Scikit-learn 
268, Xgboost 
269, Xgboost 
269, Keras 
269,  Scikit-learn 
272, Xgboost 
272,  Scikit-learn 
272,  TensorFlow 
272, PyTorch 
274,  Scikit-learn 
274, Xgboost 
274, Caret 
274, PyTorch 
274,  TensorFlow 
274, Keras 
275, PyTorch 
275,  Scikit-learn 
275, Xgboost 
276, PyTorch Lightning 
276, PyTorch 
276,  TensorFlow 
276,  Scikit-learn 
281,  Scikit-learn 
281, Keras 
281,  TensorFlow 
282,  Scikit-learn 
282,  TensorFlow 
284,  TensorFlow 
284, Xgboost 
284, Keras 
284,  Scikit-learn 
286, Keras 
286, Xgboost 
286,  Scikit-learn 
286,  TensorFlow 
287,  Scikit-learn 
287,  TensorFlow 
289, Keras 
289,  Scikit-learn 
290, Tidymodels 
290, LightGBM 
290, Caret 
290, PyTorch 
290,  TensorFlow 
290,  Scikit-learn 
290, Keras 
292,  Scikit-learn 
292, LightGBM 
292, Xgboost 
292, CatBoost 
292,  TensorFlow 
292, Keras 
294, Tidymodels 
294,  Scikit-learn 
294, CatBoost 
295,  Scikit-learn 
296,  Scikit-learn 
297, PyTorch 
297, Keras 
298, Keras 
298,  TensorFlow 
298,  Scikit-learn 
298, PyTorch 
299, PyTorch 
299, Keras 
299,  Scikit-learn 
301, LightGBM 
301,  Scikit-learn 
301, Xgboost 
301, Keras 
301,  TensorFlow 
302, PyTorch 
302, Keras 
303,  Scikit-learn 
303,  TensorFlow 
303, PyTorch 
303, CatBoost 
303, LightGBM 
303, Fast.ai 
303, Xgboost 
303, Keras 
305,  TensorFlow 
305, Huggingface 
305, Keras 
305,  Scikit-learn 
306, LightGBM 
306, Xgboost 
306,  Scikit-learn 
306, Keras 
306, PyTorch 
306,  TensorFlow 
306, CatBoost 
308,  Scikit-learn 
308, Keras 
308, PyTorch 
308,  TensorFlow 
308, Xgboost 
310,  Scikit-learn 
311, Tidymodels 
311, Xgboost 
314,Other
315, PyTorch 
315,  Scikit-learn 
317,  TensorFlow 
317,  Scikit-learn 
322, JAX 
323,  Scikit-learn 
326,  Scikit-learn 
326, Xgboost 
327, Keras 
329,  TensorFlow 
329,  Scikit-learn 
329, Keras 
331, PyTorch 
331, Keras 
331,  Scikit-learn 
331,  TensorFlow 
333,  Scikit-learn 
335, Caret 
335, Tidymodels 
336,  Scikit-learn 
336, Keras 
336, PyTorch 
336,  TensorFlow 
337,  Scikit-learn 
337, PyTorch 
337, Keras 
337,  TensorFlow 
338,  TensorFlow 
338,  Scikit-learn 
338, Xgboost 
338, CatBoost 
338, Keras 
338, Huggingface 
339, Xgboost 
339, Keras 
339,  TensorFlow 
341, Xgboost 
341,  Scikit-learn 
341, PyTorch Lightning 
341, LightGBM 
342, Keras 
342,  Scikit-learn 
342,  TensorFlow 
343,  Scikit-learn 
344,  Scikit-learn 
344, Keras 
344,  TensorFlow 
344, Caret 
344, Tidymodels 
345, PyTorch 
345,  TensorFlow 
348,  TensorFlow 
348, Keras 
348,  Scikit-learn 
348, Xgboost 
349,  TensorFlow 
349, PyTorch 
349, Fast.ai 
350, PyTorch 
350,  Scikit-learn 
350,  TensorFlow 
350, Xgboost 
351,  Scikit-learn 
352, Keras 
352, Fast.ai 
352,  Scikit-learn 
357,  Scikit-learn 
357,  TensorFlow 
357, Keras 
361, Keras 
361,  Scikit-learn 
362,  TensorFlow 
362,  Scikit-learn 
362, Xgboost 
362, Keras 
363, Xgboost 
363,  Scikit-learn 
365,  Scikit-learn 
365,  TensorFlow 
365, Keras 
365, Xgboost 
367,  Scikit-learn 
367, Keras 
367,  TensorFlow 
367, Xgboost 
368, Huggingface 
368, Keras 
368,  TensorFlow 
368,  Scikit-learn 
369,  TensorFlow 
369,  Scikit-learn 
370, Keras 
370,  Scikit-learn 
370, PyTorch 
370,  TensorFlow 
371, Tidymodels 
371,  TensorFlow 
371, Keras 
372,Other
373,  Scikit-learn 
374,  Scikit-learn 
374, Xgboost 
374, Tidymodels 
376, Tidymodels 
376, PyTorch 
379, PyTorch 
379, Xgboost 
379, Keras 
379, Huggingface 
379,  TensorFlow 
379,  Scikit-learn 
380,  Scikit-learn 
383, Keras 
383, PyTorch 
383, Huggingface 
383,  TensorFlow 
384,  TensorFlow 
384, Keras 
384,  Scikit-learn 
385, LightGBM 
385,  Scikit-learn 
387, PyTorch 
387, CatBoost 
387,  TensorFlow 
387, Xgboost 
387, Keras 
387,  Scikit-learn 
387, LightGBM 
388,  TensorFlow 
389,  TensorFlow 
389, Xgboost 
389, LightGBM 
389,  Scikit-learn 
389, Keras 
389,Other
390,  Scikit-learn 
390,  TensorFlow 
390, PyTorch 
390, Keras 
391,  Scikit-learn 
392,  Scikit-learn 
393, LightGBM 
393,  Scikit-learn 
393,  TensorFlow 
393, Xgboost 
393, Keras 
394, PyTorch 
394, Keras 
394,  Scikit-learn 
394, Caret 
394,  TensorFlow 
394, LightGBM 
394, Xgboost 
395, PyTorch 
395,  TensorFlow 
395, LightGBM 
395, Xgboost 
395,  Scikit-learn 
397,  TensorFlow 
397, Keras 
397, Xgboost 
399,  Scikit-learn 
400, Xgboost 
400,  Scikit-learn 
400,  TensorFlow 
400, Keras 
402,  Scikit-learn 
403, Keras 
403, PyTorch 
403,  TensorFlow 
403,  Scikit-learn 
404, PyTorch 
406, Keras 
406,  Scikit-learn 
407,  Scikit-learn 
407, CatBoost 
407,  TensorFlow 
407, PyTorch 
407, Keras 
407, Xgboost 
407, LightGBM 
408,  TensorFlow 
408,  Scikit-learn 
409, Tidymodels 
411,  Scikit-learn 
411,  TensorFlow 
411, Keras 
411, PyTorch 
414, PyTorch Lightning 
414, PyTorch 
414, Huggingface 
414, CatBoost 
414,  Scikit-learn 
416, Keras 
416, PyTorch 
416,  Scikit-learn 
416,  TensorFlow 
417, PyTorch 
418, Keras 
418,  TensorFlow 
418,  Scikit-learn 
419, Keras 
419,  TensorFlow 
419, Caret 
421,  TensorFlow 
421,  Scikit-learn 
421, Keras 
423,  Scikit-learn 
425,  Scikit-learn 
425, Keras 
425,  TensorFlow 
425, PyTorch 
426, Keras 
426,  Scikit-learn 
426,  TensorFlow 
426, Huggingface 
426, Xgboost 
427,  Scikit-learn 
427, Keras 
428,  Scikit-learn 
429, Xgboost 
429,  TensorFlow 
429, Keras 
429,  Scikit-learn 
430,  Scikit-learn 
431, PyTorch 
431, Fast.ai 
431,  Scikit-learn 
432,  Scikit-learn 
434,  TensorFlow 
434,  Scikit-learn 
440,  TensorFlow 
440, Xgboost 
441,  Scikit-learn 
441, Fast.ai 
441, PyTorch 
441, Huggingface 
444,  TensorFlow 
444, Keras 
446, PyTorch 
446,  TensorFlow 
446,  Scikit-learn 
446, Keras 
447, Xgboost 
447, Caret 
447, PyTorch 
448,  TensorFlow 
448, Keras 
448, PyTorch 
448,  Scikit-learn 
449, PyTorch 
449,  TensorFlow 
450,  TensorFlow 
450, Huggingface 
450,  Scikit-learn 
450, LightGBM 
450, CatBoost 
450, Keras 
450, Xgboost 
450, PyTorch 
450, PyTorch Lightning 
451,  TensorFlow 
451,  Scikit-learn 
456,  Scikit-learn 
461, Xgboost 
461,  Scikit-learn 
461, LightGBM 
462,  TensorFlow 
462,  Scikit-learn 
463,  Scikit-learn 
463,  TensorFlow 
464, PyTorch 
464,  Scikit-learn 
464, Xgboost 
464, Keras 
466, PyTorch 
467,  TensorFlow 
467, PyTorch 
468,  Scikit-learn 
469, Tidymodels 
470,  Scikit-learn 
470,  TensorFlow 
471,  TensorFlow 
471, Xgboost 
471,  Scikit-learn 
471, Keras 
472, Xgboost 
472,  Scikit-learn 
473,  TensorFlow 
473,  Scikit-learn 
473, Keras 
474, Keras 
474,  TensorFlow 
474,  Scikit-learn 
475, Xgboost 
475, PyTorch 
475, Keras 
475,  Scikit-learn 
475,  TensorFlow 
477,  Scikit-learn 
478, CatBoost 
478, LightGBM 
478, PyTorch 
478,  TensorFlow 
478, Fast.ai 
478, Xgboost 
478,  Scikit-learn 
480,  TensorFlow 
480,  Scikit-learn 
481, Fast.ai 
481,  TensorFlow 
481, PyTorch 
481, Keras 
481,  Scikit-learn 
482,  Scikit-learn 
482,  TensorFlow 
482, PyTorch 
482, Xgboost 
482, LightGBM 
483,  Scikit-learn 
483,  TensorFlow 
484,Other
484,  TensorFlow 
486, PyTorch 
490, PyTorch 
490,  Scikit-learn 
490, Huggingface 
491, PyTorch 
491, Keras 
491,  TensorFlow 
492,  Scikit-learn 
492,  TensorFlow 
495,  Scikit-learn 
495,  TensorFlow 
497,  Scikit-learn 
498,  TensorFlow 
498,  Scikit-learn 
501, Keras 
501,  TensorFlow 
501,  Scikit-learn 
505,  Scikit-learn 
505,  TensorFlow 
506, PyTorch 
508, Xgboost 
508, Keras 
508, PyTorch 
508, Huggingface 
508,  Scikit-learn 
508, LightGBM 
508, Tidymodels 
508,  TensorFlow 
508, PyTorch Lightning 
511,  TensorFlow 
512,  Scikit-learn 
513,  TensorFlow 
514,  TensorFlow 
514,  Scikit-learn 
515, Keras 
515,  TensorFlow 
515, PyTorch 
515,  Scikit-learn 
516,  Scikit-learn 
518,  Scikit-learn 
518, PyTorch 
520, LightGBM 
520, Xgboost 
520, PyTorch 
520,  TensorFlow 
520,  Scikit-learn 
520, Keras 
521,  Scikit-learn 
521, PyTorch 
521, Keras 
521,  TensorFlow 
523,  TensorFlow 
523, Keras 
523,  Scikit-learn 
524, PyTorch 
524, Huggingface 
524,  Scikit-learn 
524, Keras 
527,  TensorFlow 
527,  Scikit-learn 
530,  Scikit-learn 
531, Xgboost 
531, LightGBM 
531, PyTorch 
531,  TensorFlow 
531,  Scikit-learn 
532,  Scikit-learn 
533, Keras 
533,  TensorFlow 
533,  Scikit-learn 
535, Xgboost 
535, Tidymodels 
535,  TensorFlow 
535,  Scikit-learn 
536,  TensorFlow 
536, PyTorch 
536, Xgboost 
536, Keras 
536,  Scikit-learn 
537,  Scikit-learn 
538,  Scikit-learn 
538, Xgboost 
540, Keras 
540, Xgboost 
540,  Scikit-learn 
542,  Scikit-learn 
543,  Scikit-learn 
544,  TensorFlow 
544,  Scikit-learn 
544, Keras 
544, PyTorch 
546, Keras 
549, Keras 
549,  TensorFlow 
551,  Scikit-learn 
552,Other
553,  Scikit-learn 
554,  TensorFlow 
554,  Scikit-learn 
554, Keras 
555, Keras 
555,  TensorFlow 
555,  Scikit-learn 
555, Fast.ai 
558, Keras 
558, Huggingface 
558,  TensorFlow 
558, PyTorch 
558,  Scikit-learn 
559,Other
559, PyTorch 
559,  Scikit-learn 
564,  Scikit-learn 
566, Tidymodels 
567,  TensorFlow 
569, Fast.ai 
569,  TensorFlow 
569,  Scikit-learn 
569, Xgboost 
570,  TensorFlow 
571,  Scikit-learn 
573,  TensorFlow 
576,  TensorFlow 
576,  Scikit-learn 
578,  Scikit-learn 
578,  TensorFlow 
579,  TensorFlow 
579,  Scikit-learn 
579, Huggingface 
580,  Scikit-learn 
580, LightGBM 
581, Xgboost 
581, Keras 
581,  Scikit-learn 
581,  TensorFlow 
583,  Scikit-learn 
583, Keras 
583,  TensorFlow 
585,  Scikit-learn 
585, Keras 
585,  TensorFlow 
586, JAX 
586, Fast.ai 
586, PyTorch 
586, PyTorch Lightning 
587,  Scikit-learn 
590,  Scikit-learn 
590, Keras 
590, Xgboost 
590,  TensorFlow 
591, Keras 
591, Xgboost 
591,  Scikit-learn 
591, Huggingface 
591,  TensorFlow 
592,  TensorFlow 
592, Xgboost 
592,  Scikit-learn 
592, Keras 
593, LightGBM 
593, Xgboost 
593, Caret 
594,  TensorFlow 
594,  Scikit-learn 
596, Xgboost 
596,  Scikit-learn 
597,  Scikit-learn 
598,  Scikit-learn 
598, PyTorch 
599,  TensorFlow 
599,  Scikit-learn 
599, PyTorch 
599, Xgboost 
600, Keras 
600, Fast.ai 
600, PyTorch 
600,  TensorFlow 
603, PyTorch 
605, Xgboost 
605, Keras 
605,  TensorFlow 
605,  Scikit-learn 
613, Keras 
613, Xgboost 
613,  Scikit-learn 
614,  Scikit-learn 
614,  TensorFlow 
614, Keras 
617, LightGBM 
617, Tidymodels 
617,  Scikit-learn 
617, Xgboost 
618,Other
619,  TensorFlow 
621, LightGBM 
621, Xgboost 
621,  TensorFlow 
621,  Scikit-learn 
621, Keras 
622, Keras 
622,  Scikit-learn 
622,  TensorFlow 
623, Xgboost 
623,  Scikit-learn 
623,  TensorFlow 
623, Keras 
624,  Scikit-learn 
624, PyTorch 
624, Huggingface 
625, Xgboost 
625,  Scikit-learn 
626, PyTorch 
626, Xgboost 
626,  Scikit-learn 
629,  TensorFlow 
629, Keras 
630,  Scikit-learn 
630, PyTorch 
631, Xgboost 
631,  Scikit-learn 
631,  TensorFlow 
633, Keras 
633, PyTorch 
633,  Scikit-learn 
633, Xgboost 
634, PyTorch 
634, Huggingface 
634, Caret 
634, Tidymodels 
634, LightGBM 
634, Keras 
634, Xgboost 
634, CatBoost 
634, Fast.ai 
634,  TensorFlow 
634, JAX 
634, PyTorch Lightning 
634,  Scikit-learn 
635,  Scikit-learn 
635, PyTorch 
635, PyTorch Lightning 
635, LightGBM 
635, Keras 
635, CatBoost 
635, Xgboost 
635, Huggingface 
635,  TensorFlow 
635, JAX 
637,  Scikit-learn 
637, Xgboost 
637,  TensorFlow 
638, Caret 
638,  TensorFlow 
638, Keras 
638,  Scikit-learn 
638, PyTorch 
639, PyTorch 
639,  Scikit-learn 
639, Huggingface 
639, Xgboost 
639, Keras 
639, JAX 
640, Caret 
641,  Scikit-learn 
641, Xgboost 
642, Xgboost 
642, Keras 
642, Huggingface 
642,  TensorFlow 
642, LightGBM 
642, CatBoost 
642,  Scikit-learn 
643, Keras 
643,  TensorFlow 
643, Xgboost 
643, CatBoost 
643, LightGBM 
643, Caret 
643,  Scikit-learn 
643, PyTorch 
644,  Scikit-learn 
644, PyTorch 
644, Keras 
644,  TensorFlow 
645, PyTorch 
645, Keras 
645,  TensorFlow 
649,  Scikit-learn 
650, Xgboost 
650,  TensorFlow 
650,  Scikit-learn 
650, PyTorch Lightning 
650, LightGBM 
651,  Scikit-learn 
653,  TensorFlow 
653,  Scikit-learn 
653, Keras 
653, PyTorch 
654,  Scikit-learn 
656, Keras 
656,  TensorFlow 
656, PyTorch 
656,  Scikit-learn 
657,  Scikit-learn 
657,  TensorFlow 
657, Keras 
658,  Scikit-learn 
658,  TensorFlow 
660,  Scikit-learn 
662,  Scikit-learn 
662,  TensorFlow 
662, Keras 
663, Keras 
663,  Scikit-learn 
663,  TensorFlow 
664,  Scikit-learn 
664, Xgboost 
667, Keras 
667,  TensorFlow 
667,  Scikit-learn 
668,  Scikit-learn 
668, Xgboost 
668, Keras 
668,  TensorFlow 
670,  Scikit-learn 
671,  TensorFlow 
671,  Scikit-learn 
671, Keras 
675, Xgboost 
675,  TensorFlow 
675,  Scikit-learn 
677,  TensorFlow 
677, PyTorch 
680,  Scikit-learn 
680,  TensorFlow 
680, Keras 
680, Xgboost 
682, PyTorch 
682, Keras 
682,  TensorFlow 
683, Xgboost 
683, Keras 
683,  TensorFlow 
683,  Scikit-learn 
686, PyTorch 
686,  Scikit-learn 
686, Keras 
686,  TensorFlow 
687,  Scikit-learn 
687,  TensorFlow 
687, PyTorch Lightning 
687, Xgboost 
688,  TensorFlow 
688,  Scikit-learn 
688, Keras 
690, Xgboost 
690, Keras 
690, PyTorch 
690,  TensorFlow 
690,  Scikit-learn 
692,  Scikit-learn 
693,  Scikit-learn 
693, Xgboost 
693,  TensorFlow 
693, LightGBM 
694,  TensorFlow 
694, Xgboost 
694, Caret 
694,  Scikit-learn 
695,  Scikit-learn 
695, Xgboost 
695, CatBoost 
695, LightGBM 
696,  Scikit-learn 
696,  TensorFlow 
696, Keras 
696, PyTorch Lightning 
696, Xgboost 
696, PyTorch 
697,  Scikit-learn 
698,  TensorFlow 
698,  Scikit-learn 
699, PyTorch 
699, Keras 
700, Xgboost 
700,  Scikit-learn 
700,  TensorFlow 
700, Keras 
700, CatBoost 
701,  TensorFlow 
701,  Scikit-learn 
701, Keras 
702, PyTorch 
702, PyTorch Lightning 
702,  Scikit-learn 
702, Xgboost 
706, Huggingface 
706,  TensorFlow 
706, Keras 
706,  Scikit-learn 
706, Xgboost 
706, LightGBM 
706, CatBoost 
707,  Scikit-learn 
707,  TensorFlow 
707, PyTorch 
708, PyTorch 
708,  TensorFlow 
708, Keras 
710,  TensorFlow 
712,  TensorFlow 
712, Keras 
712,  Scikit-learn 
712,Other
715, Keras 
715,  TensorFlow 
715, PyTorch 
715,  Scikit-learn 
716,  Scikit-learn 
716, Keras 
716, Huggingface 
716,  TensorFlow 
717,  Scikit-learn 
717, CatBoost 
717, PyTorch 
717, Xgboost 
717, LightGBM 
719,  Scikit-learn 
719, Keras 
719,  TensorFlow 
719, CatBoost 
719, Xgboost 
721,  Scikit-learn 
721, PyTorch 
722, Xgboost 
722,  Scikit-learn 
723, Tidymodels 
723, Caret 
723, Xgboost 
726, Xgboost 
726, LightGBM 
726, PyTorch 
727, Caret 
727, Keras 
727, Xgboost 
727, LightGBM 
727,  Scikit-learn 
727, Tidymodels 
727, PyTorch 
728,  Scikit-learn 
728, Huggingface 
728, PyTorch 
729,  Scikit-learn 
729,  TensorFlow 
729, PyTorch 
731, Keras 
731,  TensorFlow 
731,  Scikit-learn 
734, PyTorch 
734, Caret 
734, Keras 
734,  TensorFlow 
734, Xgboost 
734,  Scikit-learn 
735,  Scikit-learn 
736, PyTorch 
736,  Scikit-learn 
736,  TensorFlow 
736, Xgboost 
736, Keras 
737,  Scikit-learn 
737,  TensorFlow 
739,  Scikit-learn 
739, Keras 
739,  TensorFlow 
740,  Scikit-learn 
741, Xgboost 
741,  TensorFlow 
741, PyTorch 
741,  Scikit-learn 
742,  Scikit-learn 
742, Keras 
743,  Scikit-learn 
743, Caret 
743, Huggingface 
743, Xgboost 
743, Keras 
743, PyTorch 
745, Keras 
745,  TensorFlow 
749,  Scikit-learn 
752,  Scikit-learn 
753,  Scikit-learn 
