id,algorithm
58,Decision Trees or Random Forests
60,Evolutionary Approaches
60,Linear or Logistic Regression
60,Bayesian Approaches
60,Graph Neural Networks
64,Linear or Logistic Regression
65,Recurrent Neural Networks
65,Bayesian Approaches
65,Linear or Logistic Regression
65,Decision Trees or Random Forests
68,Recurrent Neural Networks
68,"Transformer Networks (BERT, gpt-3, etc)"
68,Decision Trees or Random Forests
73,Decision Trees or Random Forests
73,Linear or Logistic Regression
73,Bayesian Approaches
76,Decision Trees or Random Forests
76,Linear or Logistic Regression
77,Convolutional Neural Networks
77,Bayesian Approaches
77,Evolutionary Approaches
78,"Dense Neural Networks (MLPs, etc)"
78,Linear or Logistic Regression
78,Convolutional Neural Networks
78,Graph Neural Networks
78,Recurrent Neural Networks
81,Linear or Logistic Regression
81,"Dense Neural Networks (MLPs, etc)"
81,Convolutional Neural Networks
81,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
81,Decision Trees or Random Forests
82,Decision Trees or Random Forests
82,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
82,Convolutional Neural Networks
82,Linear or Logistic Regression
84,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
84,Decision Trees or Random Forests
84,"Transformer Networks (BERT, gpt-3, etc)"
84,Linear or Logistic Regression
84,Bayesian Approaches
86,Linear or Logistic Regression
87,Linear or Logistic Regression
87,"Autoencoder Networks (DAE, VAE, etc)"
87,Graph Neural Networks
87,Convolutional Neural Networks
87,Recurrent Neural Networks
87,"Transformer Networks (BERT, gpt-3, etc)"
88,Convolutional Neural Networks
88,"Transformer Networks (BERT, gpt-3, etc)"
88,Evolutionary Approaches
88,Generative Adversarial Networks
88,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
88,Linear or Logistic Regression
88,Bayesian Approaches
88,Graph Neural Networks
88,"Autoencoder Networks (DAE, VAE, etc)"
88,Recurrent Neural Networks
88,Decision Trees or Random Forests
88,"Dense Neural Networks (MLPs, etc)"
89,Linear or Logistic Regression
90,Recurrent Neural Networks
90,Decision Trees or Random Forests
93,Decision Trees or Random Forests
93,Linear or Logistic Regression
99,"Dense Neural Networks (MLPs, etc)"
99,Decision Trees or Random Forests
99,Convolutional Neural Networks
99,Linear or Logistic Regression
100,Linear or Logistic Regression
100,Convolutional Neural Networks
100,Bayesian Approaches
100,Decision Trees or Random Forests
100,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
100,Graph Neural Networks
100,"Dense Neural Networks (MLPs, etc)"
102,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
103,Linear or Logistic Regression
103,Convolutional Neural Networks
103,Generative Adversarial Networks
103,"Dense Neural Networks (MLPs, etc)"
105,Convolutional Neural Networks
105,Decision Trees or Random Forests
105,Recurrent Neural Networks
105,Linear or Logistic Regression
105,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
105,"Transformer Networks (BERT, gpt-3, etc)"
105,"Dense Neural Networks (MLPs, etc)"
106,Bayesian Approaches
106,Convolutional Neural Networks
107,Decision Trees or Random Forests
107,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
109,Bayesian Approaches
109,Other
109,Decision Trees or Random Forests
109,Generative Adversarial Networks
109,Linear or Logistic Regression
109,Convolutional Neural Networks
111,Bayesian Approaches
111,"Autoencoder Networks (DAE, VAE, etc)"
111,Decision Trees or Random Forests
111,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
111,"Transformer Networks (BERT, gpt-3, etc)"
111,"Dense Neural Networks (MLPs, etc)"
114,Decision Trees or Random Forests
114,Linear or Logistic Regression
115,"Transformer Networks (BERT, gpt-3, etc)"
115,Linear or Logistic Regression
115,"Dense Neural Networks (MLPs, etc)"
115,Bayesian Approaches
115,Convolutional Neural Networks
115,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
115,Decision Trees or Random Forests
117,Graph Neural Networks
117,Recurrent Neural Networks
117,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
121,Linear or Logistic Regression
123,Convolutional Neural Networks
123,Bayesian Approaches
123,Decision Trees or Random Forests
124,"Transformer Networks (BERT, gpt-3, etc)"
124,Linear or Logistic Regression
127,Linear or Logistic Regression
127,Decision Trees or Random Forests
128,Linear or Logistic Regression
128,Bayesian Approaches
128,"Transformer Networks (BERT, gpt-3, etc)"
128,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
128,Decision Trees or Random Forests
130,Recurrent Neural Networks
130,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
130,Linear or Logistic Regression
130,Decision Trees or Random Forests
130,Convolutional Neural Networks
132,"Dense Neural Networks (MLPs, etc)"
132,Convolutional Neural Networks
132,Linear or Logistic Regression
132,Recurrent Neural Networks
134,Linear or Logistic Regression
134,Bayesian Approaches
134,Recurrent Neural Networks
134,"Dense Neural Networks (MLPs, etc)"
134,Decision Trees or Random Forests
134,Convolutional Neural Networks
134,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
136,Recurrent Neural Networks
136,Convolutional Neural Networks
136,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
136,"Dense Neural Networks (MLPs, etc)"
136,Generative Adversarial Networks
137,Decision Trees or Random Forests
137,Bayesian Approaches
137,Linear or Logistic Regression
139,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
139,Decision Trees or Random Forests
139,"Transformer Networks (BERT, gpt-3, etc)"
139,Convolutional Neural Networks
139,Recurrent Neural Networks
140,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
140,Linear or Logistic Regression
140,Recurrent Neural Networks
141,Linear or Logistic Regression
141,Decision Trees or Random Forests
142,Decision Trees or Random Forests
142,Linear or Logistic Regression
148,Decision Trees or Random Forests
148,Linear or Logistic Regression
148,"Dense Neural Networks (MLPs, etc)"
148,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
151,Recurrent Neural Networks
151,Convolutional Neural Networks
152,Convolutional Neural Networks
152,Generative Adversarial Networks
152,Graph Neural Networks
152,Linear or Logistic Regression
153,"Dense Neural Networks (MLPs, etc)"
153,Convolutional Neural Networks
153,Linear or Logistic Regression
153,Decision Trees or Random Forests
153,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
153,Recurrent Neural Networks
156,Decision Trees or Random Forests
156,Generative Adversarial Networks
156,Convolutional Neural Networks
156,Recurrent Neural Networks
156,Bayesian Approaches
160,Linear or Logistic Regression
160,Bayesian Approaches
161,Convolutional Neural Networks
161,Recurrent Neural Networks
161,"Autoencoder Networks (DAE, VAE, etc)"
161,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
161,Linear or Logistic Regression
161,Decision Trees or Random Forests
164,Decision Trees or Random Forests
164,Linear or Logistic Regression
165,Decision Trees or Random Forests
165,Convolutional Neural Networks
166,Linear or Logistic Regression
168,Decision Trees or Random Forests
168,Convolutional Neural Networks
168,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
168,Linear or Logistic Regression
169,Linear or Logistic Regression
170,Decision Trees or Random Forests
170,Bayesian Approaches
170,Linear or Logistic Regression
171,Linear or Logistic Regression
173,Graph Neural Networks
173,Linear or Logistic Regression
175,Linear or Logistic Regression
175,Decision Trees or Random Forests
177,Linear or Logistic Regression
177,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
178,Decision Trees or Random Forests
178,Linear or Logistic Regression
183,Linear or Logistic Regression
183,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
183,Decision Trees or Random Forests
185,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
185,Linear or Logistic Regression
185,Decision Trees or Random Forests
185,Generative Adversarial Networks
186,Linear or Logistic Regression
186,Decision Trees or Random Forests
188,Bayesian Approaches
188,Decision Trees or Random Forests
188,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
188,Convolutional Neural Networks
188,Linear or Logistic Regression
192,Linear or Logistic Regression
192,"Dense Neural Networks (MLPs, etc)"
193,Linear or Logistic Regression
193,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
193,Decision Trees or Random Forests
194,Evolutionary Approaches
194,Recurrent Neural Networks
195,Linear or Logistic Regression
195,Convolutional Neural Networks
195,Recurrent Neural Networks
195,"Autoencoder Networks (DAE, VAE, etc)"
195,"Dense Neural Networks (MLPs, etc)"
196,Linear or Logistic Regression
196,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
196,"Dense Neural Networks (MLPs, etc)"
196,Decision Trees or Random Forests
199,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
199,Linear or Logistic Regression
199,Decision Trees or Random Forests
201,"Transformer Networks (BERT, gpt-3, etc)"
201,"Dense Neural Networks (MLPs, etc)"
201,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
201,Evolutionary Approaches
201,Convolutional Neural Networks
201,Linear or Logistic Regression
203,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
203,Decision Trees or Random Forests
203,Linear or Logistic Regression
204,Decision Trees or Random Forests
206,Bayesian Approaches
206,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
206,Linear or Logistic Regression
206,Decision Trees or Random Forests
207,Other
208,Convolutional Neural Networks
208,Generative Adversarial Networks
209,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
209,Convolutional Neural Networks
209,Linear or Logistic Regression
210,Linear or Logistic Regression
210,Decision Trees or Random Forests
211,Decision Trees or Random Forests
211,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
211,Linear or Logistic Regression
214,Bayesian Approaches
214,Convolutional Neural Networks
214,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
214,Decision Trees or Random Forests
214,Linear or Logistic Regression
215,Convolutional Neural Networks
215,Linear or Logistic Regression
216,Linear or Logistic Regression
220,Convolutional Neural Networks
220,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
220,Linear or Logistic Regression
220,"Dense Neural Networks (MLPs, etc)"
222,"Dense Neural Networks (MLPs, etc)"
222,Decision Trees or Random Forests
222,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
222,Bayesian Approaches
222,Linear or Logistic Regression
223,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
223,"Autoencoder Networks (DAE, VAE, etc)"
223,Convolutional Neural Networks
223,Other
223,Recurrent Neural Networks
223,Linear or Logistic Regression
223,Decision Trees or Random Forests
223,"Dense Neural Networks (MLPs, etc)"
226,Convolutional Neural Networks
226,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
229,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
229,"Dense Neural Networks (MLPs, etc)"
229,Convolutional Neural Networks
229,Decision Trees or Random Forests
229,Linear or Logistic Regression
232,Graph Neural Networks
232,Linear or Logistic Regression
232,Recurrent Neural Networks
234,Convolutional Neural Networks
234,Linear or Logistic Regression
236,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
236,"Transformer Networks (BERT, gpt-3, etc)"
236,Decision Trees or Random Forests
236,"Dense Neural Networks (MLPs, etc)"
236,Convolutional Neural Networks
237,Convolutional Neural Networks
238,Linear or Logistic Regression
238,Convolutional Neural Networks
238,Decision Trees or Random Forests
239,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
240,Convolutional Neural Networks
240,Linear or Logistic Regression
240,Recurrent Neural Networks
240,"Dense Neural Networks (MLPs, etc)"
241,Bayesian Approaches
243,Convolutional Neural Networks
243,Linear or Logistic Regression
244,Linear or Logistic Regression
244,Decision Trees or Random Forests
244,Evolutionary Approaches
245,Linear or Logistic Regression
246,Bayesian Approaches
246,Linear or Logistic Regression
246,Decision Trees or Random Forests
247,Linear or Logistic Regression
247,Convolutional Neural Networks
248,Bayesian Approaches
248,Linear or Logistic Regression
248,Other
248,Decision Trees or Random Forests
248,Convolutional Neural Networks
249,Convolutional Neural Networks
249,Decision Trees or Random Forests
249,Bayesian Approaches
249,Linear or Logistic Regression
251,Decision Trees or Random Forests
253,Convolutional Neural Networks
254,Linear or Logistic Regression
255,Linear or Logistic Regression
255,Decision Trees or Random Forests
255,"Transformer Networks (BERT, gpt-3, etc)"
255,Convolutional Neural Networks
255,Recurrent Neural Networks
255,Bayesian Approaches
257,Linear or Logistic Regression
257,"Dense Neural Networks (MLPs, etc)"
257,Graph Neural Networks
258,Decision Trees or Random Forests
258,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
259,Convolutional Neural Networks
259,"Transformer Networks (BERT, gpt-3, etc)"
259,"Dense Neural Networks (MLPs, etc)"
259,Decision Trees or Random Forests
259,Linear or Logistic Regression
259,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
262,Decision Trees or Random Forests
262,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
262,Bayesian Approaches
262,Linear or Logistic Regression
264,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
264,Decision Trees or Random Forests
264,Linear or Logistic Regression
264,Convolutional Neural Networks
264,Bayesian Approaches
267,Decision Trees or Random Forests
267,"Dense Neural Networks (MLPs, etc)"
267,Linear or Logistic Regression
267,Bayesian Approaches
268,Convolutional Neural Networks
268,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
268,Linear or Logistic Regression
268,"Dense Neural Networks (MLPs, etc)"
268,Bayesian Approaches
268,Decision Trees or Random Forests
268,Other
269,Convolutional Neural Networks
269,Recurrent Neural Networks
269,"Dense Neural Networks (MLPs, etc)"
269,Linear or Logistic Regression
269,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
269,Decision Trees or Random Forests
272,Linear or Logistic Regression
272,Decision Trees or Random Forests
272,Recurrent Neural Networks
272,"Transformer Networks (BERT, gpt-3, etc)"
274,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
274,Generative Adversarial Networks
274,Decision Trees or Random Forests
274,Linear or Logistic Regression
274,Recurrent Neural Networks
274,"Autoencoder Networks (DAE, VAE, etc)"
274,"Dense Neural Networks (MLPs, etc)"
274,Convolutional Neural Networks
275,Linear or Logistic Regression
275,Bayesian Approaches
275,Decision Trees or Random Forests
275,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
276,"Dense Neural Networks (MLPs, etc)"
276,Graph Neural Networks
276,"Autoencoder Networks (DAE, VAE, etc)"
276,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
276,Linear or Logistic Regression
281,Linear or Logistic Regression
281,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
282,Linear or Logistic Regression
282,Recurrent Neural Networks
282,Convolutional Neural Networks
284,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
284,Decision Trees or Random Forests
284,Recurrent Neural Networks
284,Convolutional Neural Networks
284,Linear or Logistic Regression
286,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
286,Recurrent Neural Networks
286,Decision Trees or Random Forests
286,Linear or Logistic Regression
286,"Transformer Networks (BERT, gpt-3, etc)"
286,Convolutional Neural Networks
286,Bayesian Approaches
287,Convolutional Neural Networks
287,Linear or Logistic Regression
287,Decision Trees or Random Forests
287,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
288,Linear or Logistic Regression
289,Generative Adversarial Networks
289,"Dense Neural Networks (MLPs, etc)"
289,Bayesian Approaches
289,Convolutional Neural Networks
289,Decision Trees or Random Forests
290,Linear or Logistic Regression
290,Decision Trees or Random Forests
290,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
292,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
292,Decision Trees or Random Forests
292,Linear or Logistic Regression
294,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
294,Decision Trees or Random Forests
294,Linear or Logistic Regression
295,Decision Trees or Random Forests
295,Bayesian Approaches
295,"Dense Neural Networks (MLPs, etc)"
296,Decision Trees or Random Forests
296,Linear or Logistic Regression
297,Decision Trees or Random Forests
297,Linear or Logistic Regression
298,"Transformer Networks (BERT, gpt-3, etc)"
298,Bayesian Approaches
298,Convolutional Neural Networks
298,Decision Trees or Random Forests
298,"Dense Neural Networks (MLPs, etc)"
298,Recurrent Neural Networks
298,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
298,Graph Neural Networks
298,Linear or Logistic Regression
299,Linear or Logistic Regression
299,Bayesian Approaches
301,Bayesian Approaches
301,Linear or Logistic Regression
301,Decision Trees or Random Forests
301,"Dense Neural Networks (MLPs, etc)"
301,Convolutional Neural Networks
301,Other
301,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
302,Linear or Logistic Regression
303,Linear or Logistic Regression
303,Recurrent Neural Networks
303,Convolutional Neural Networks
303,Decision Trees or Random Forests
303,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
303,"Autoencoder Networks (DAE, VAE, etc)"
305,"Dense Neural Networks (MLPs, etc)"
305,Decision Trees or Random Forests
305,Linear or Logistic Regression
305,Convolutional Neural Networks
306,Bayesian Approaches
306,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
306,Recurrent Neural Networks
306,Linear or Logistic Regression
306,Convolutional Neural Networks
306,Decision Trees or Random Forests
308,Decision Trees or Random Forests
308,Convolutional Neural Networks
308,Linear or Logistic Regression
308,Bayesian Approaches
308,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
310,Linear or Logistic Regression
311,Bayesian Approaches
311,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
311,Linear or Logistic Regression
311,Decision Trees or Random Forests
314,Linear or Logistic Regression
314,Recurrent Neural Networks
314,"Dense Neural Networks (MLPs, etc)"
314,Decision Trees or Random Forests
314,Convolutional Neural Networks
314,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
315,"Dense Neural Networks (MLPs, etc)"
315,"Transformer Networks (BERT, gpt-3, etc)"
315,Graph Neural Networks
322,Graph Neural Networks
326,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
326,Linear or Logistic Regression
326,Decision Trees or Random Forests
327,Bayesian Approaches
327,Recurrent Neural Networks
327,Graph Neural Networks
327,Linear or Logistic Regression
329,"Autoencoder Networks (DAE, VAE, etc)"
329,"Dense Neural Networks (MLPs, etc)"
329,Convolutional Neural Networks
331,Recurrent Neural Networks
331,"Dense Neural Networks (MLPs, etc)"
331,Convolutional Neural Networks
333,Decision Trees or Random Forests
333,Linear or Logistic Regression
333,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
333,Bayesian Approaches
335,Linear or Logistic Regression
335,Decision Trees or Random Forests
336,Convolutional Neural Networks
336,Linear or Logistic Regression
336,Generative Adversarial Networks
337,Bayesian Approaches
337,Linear or Logistic Regression
337,Decision Trees or Random Forests
337,Convolutional Neural Networks
338,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
338,Linear or Logistic Regression
338,"Dense Neural Networks (MLPs, etc)"
338,"Transformer Networks (BERT, gpt-3, etc)"
338,Decision Trees or Random Forests
338,Recurrent Neural Networks
339,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
339,Convolutional Neural Networks
339,Decision Trees or Random Forests
339,"Dense Neural Networks (MLPs, etc)"
339,Graph Neural Networks
339,Linear or Logistic Regression
339,Bayesian Approaches
339,Generative Adversarial Networks
339,"Autoencoder Networks (DAE, VAE, etc)"
339,Recurrent Neural Networks
339,Evolutionary Approaches
339,"Transformer Networks (BERT, gpt-3, etc)"
341,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
341,Linear or Logistic Regression
341,Decision Trees or Random Forests
342,"Dense Neural Networks (MLPs, etc)"
342,Linear or Logistic Regression
342,Decision Trees or Random Forests
342,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
343,Linear or Logistic Regression
344,Recurrent Neural Networks
344,Convolutional Neural Networks
344,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
344,"Dense Neural Networks (MLPs, etc)"
344,Decision Trees or Random Forests
344,Bayesian Approaches
345,Decision Trees or Random Forests
345,Linear or Logistic Regression
345,Bayesian Approaches
348,Recurrent Neural Networks
348,Linear or Logistic Regression
348,Convolutional Neural Networks
350,Decision Trees or Random Forests
350,Linear or Logistic Regression
352,Convolutional Neural Networks
355,Decision Trees or Random Forests
355,Linear or Logistic Regression
357,Recurrent Neural Networks
357,Linear or Logistic Regression
357,Graph Neural Networks
357,Decision Trees or Random Forests
361,Linear or Logistic Regression
362,Convolutional Neural Networks
362,Decision Trees or Random Forests
362,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
362,Linear or Logistic Regression
363,Linear or Logistic Regression
363,Decision Trees or Random Forests
365,Linear or Logistic Regression
365,Convolutional Neural Networks
365,Decision Trees or Random Forests
365,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
367,Linear or Logistic Regression
367,Decision Trees or Random Forests
367,Convolutional Neural Networks
368,Linear or Logistic Regression
368,Recurrent Neural Networks
368,Convolutional Neural Networks
368,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
368,Decision Trees or Random Forests
368,"Dense Neural Networks (MLPs, etc)"
369,Linear or Logistic Regression
369,Decision Trees or Random Forests
370,Bayesian Approaches
370,Recurrent Neural Networks
370,Decision Trees or Random Forests
370,Linear or Logistic Regression
370,Convolutional Neural Networks
371,Bayesian Approaches
371,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
371,Decision Trees or Random Forests
371,Linear or Logistic Regression
371,Generative Adversarial Networks
372,Linear or Logistic Regression
374,Decision Trees or Random Forests
374,Linear or Logistic Regression
374,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
379,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
379,Decision Trees or Random Forests
379,"Transformer Networks (BERT, gpt-3, etc)"
379,Convolutional Neural Networks
380,Linear or Logistic Regression
383,"Dense Neural Networks (MLPs, etc)"
383,Recurrent Neural Networks
383,Convolutional Neural Networks
384,Convolutional Neural Networks
385,Convolutional Neural Networks
385,Decision Trees or Random Forests
385,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
385,"Transformer Networks (BERT, gpt-3, etc)"
385,Linear or Logistic Regression
387,Bayesian Approaches
387,Linear or Logistic Regression
387,Decision Trees or Random Forests
387,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
388,Convolutional Neural Networks
388,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
389,Linear or Logistic Regression
389,Decision Trees or Random Forests
389,"Dense Neural Networks (MLPs, etc)"
389,Recurrent Neural Networks
389,Convolutional Neural Networks
389,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
390,Recurrent Neural Networks
390,Decision Trees or Random Forests
390,Bayesian Approaches
390,Graph Neural Networks
391,Linear or Logistic Regression
391,Decision Trees or Random Forests
392,Decision Trees or Random Forests
392,Linear or Logistic Regression
393,Linear or Logistic Regression
393,"Gradient Boosting Machines (xgboost, lightgbm, etc)"
394,Bayesian Approaches
394,Linear or Logistic Regression
394,Convolutional Neural Networks
