id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
27,18-24,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
28,55+,woman,Argentina,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
29,45-54,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
30,35-44,man,Chile,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
31,18-24,other,Singapore,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
32,35-44,man,Other,No,university educated,10+ years,unknown,unknown/unemployed,
33,25-34,man,Other,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
34,35-44,man,Italy,No,university educated,10+ years,5+ years,data role,"under $30,000"
35,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
36,25-34,man,Japan,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
37,35-44,man,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
38,25-34,man,Mexico,Yes,no university,0-3 years,none,unknown/unemployed,
39,25-34,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
40,25-34,man,India,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
41,18-24,woman,Canada,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
42,45-54,man,Indonesia,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
43,35-44,man,India,No,unknown,10+ years,2-5 years,unknown/unemployed,
44,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"$30,000-$69,999"
45,35-44,woman,Israel,Yes,no university,3-10 years,0-2 years,unknown/unemployed,
46,35-44,man,Colombia,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
47,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
48,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
49,35-44,man,France,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
50,45-54,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
51,35-44,man,Other,No,university educated,none,unknown,unknown/unemployed,
52,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
53,25-34,woman,Indonesia,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
54,35-44,man,Egypt,No,unknown,unknown,unknown,unknown/unemployed,
55,35-44,man,Turkey,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
56,25-34,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
57,18-24,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
58,35-44,man,India,No,university educated,10+ years,2-5 years,data role,"under $30,000"
59,25-34,man,Turkey,No,university educated,none,unknown,data role,
60,25-34,woman,Pakistan,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
61,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
62,25-34,man,Pakistan,Yes,no university,none,unknown,unknown/unemployed,
63,18-24,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
64,35-44,man,Pakistan,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
65,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
66,18-24,woman,Other,Yes,unknown,0-3 years,none,unknown/unemployed,
67,18-24,man,Colombia,Yes,no university,0-3 years,none,unknown/unemployed,
68,25-34,man,India,Yes,no university,3-10 years,0-2 years,unknown/unemployed,
69,35-44,woman,India,No,unknown,0-3 years,unknown,unknown/unemployed,
70,18-24,man,Nigeria,Yes,university educated,0-3 years,unknown,unknown/unemployed,
71,18-24,woman,China,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
72,35-44,man,Japan,No,no university,0-3 years,none,non data role,"$30,000-$69,999"
73,18-24,man,United Kingdom of Great Britain and Northern Ireland,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
74,25-34,woman,Canada,No,university educated,0-3 years,none,unknown/unemployed,
75,25-34,man,India,No,university educated,3-10 years,none,data role,"under $30,000"
76,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
77,25-34,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
78,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
79,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
80,35-44,man,Other,No,no university,0-3 years,none,non data role,"under $30,000"
81,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
82,45-54,man,Canada,No,no university,10+ years,2-5 years,non data role,"$70,000-$124,999"
83,55+,woman,United States of America,No,university educated,none,unknown,non data role,"under $30,000"
84,25-34,man,Japan,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
85,35-44,man,United States of America,No,university educated,none,unknown,non data role,"$70,000-$124,999"
86,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
87,25-34,man,Ethiopia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
88,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
89,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
90,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
91,18-24,woman,Egypt,Yes,unknown,unknown,unknown,unknown/unemployed,
92,18-24,man,South Africa,Yes,university educated,0-3 years,none,unknown/unemployed,
93,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
94,25-34,man,France,Yes,university educated,3-10 years,unknown,unknown/unemployed,
95,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
96,25-34,woman,United States of America,Yes,university educated,0-3 years,unknown,unknown/unemployed,
97,25-34,man,India,No,unknown,0-3 years,0-2 years,unknown/unemployed,
98,35-44,man,India,No,university educated,3-10 years,none,data role,"under $30,000"
99,18-24,man,India,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
100,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
101,18-24,man,Turkey,Yes,university educated,3-10 years,unknown,unknown/unemployed,
102,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
103,18-24,man,Pakistan,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
104,25-34,man,Indonesia,Yes,university educated,0-3 years,unknown,unknown/unemployed,
105,35-44,man,United States of America,Yes,university educated,10+ years,5+ years,unknown/unemployed,
106,25-34,woman,Pakistan,No,university educated,3-10 years,5+ years,data role,
107,25-34,man,South Korea,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
108,18-24,man,Pakistan,Yes,university educated,none,unknown,unknown/unemployed,
109,35-44,man,Viet Nam,Yes,university educated,10+ years,5+ years,unknown/unemployed,
110,25-34,man,India,Yes,university educated,0-3 years,5+ years,unknown/unemployed,
111,45-54,man,Israel,No,university educated,10+ years,5+ years,data role,
112,18-24,man,Viet Nam,Yes,no university,0-3 years,none,unknown/unemployed,
113,25-34,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
114,35-44,man,India,No,university educated,3-10 years,2-5 years,data role,
115,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
116,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
117,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
118,25-34,man,Chile,Yes,unknown,3-10 years,none,unknown/unemployed,
119,18-24,man,India,Yes,university educated,3-10 years,none,unknown/unemployed,
120,35-44,woman,Canada,No,university educated,10+ years,none,non data role,"$70,000-$124,999"
121,18-24,other,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
122,18-24,man,Mexico,No,university educated,0-3 years,none,data role,"under $30,000"
123,25-34,man,South Korea,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
124,25-34,man,Japan,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
125,35-44,woman,India,No,unknown,unknown,unknown,unknown/unemployed,
126,18-24,man,Other,No,unknown,0-3 years,2-5 years,data role,"under $30,000"
127,25-34,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
128,45-54,man,Australia,No,university educated,3-10 years,0-2 years,data role,"$125,000+"
129,18-24,man,India,Yes,no university,none,unknown,unknown/unemployed,
130,25-34,man,United States of America,No,university educated,3-10 years,0-2 years,unknown/unemployed,
131,35-44,man,Italy,No,university educated,0-3 years,none,unknown/unemployed,
132,18-24,man,Italy,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
133,18-24,woman,Indonesia,Yes,no university,none,unknown,unknown/unemployed,
134,55+,man,Colombia,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
135,35-44,man,Brazil,Yes,university educated,3-10 years,none,unknown/unemployed,
136,35-44,man,Turkey,No,university educated,3-10 years,2-5 years,non data role,"$30,000-$69,999"
137,45-54,man,India,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
138,18-24,man,Kenya,Yes,university educated,3-10 years,unknown,unknown/unemployed,
139,18-24,man,Japan,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
140,35-44,man,Spain,No,university educated,10+ years,5+ years,non data role,"$125,000+"
141,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
142,18-24,man,"Iran, Islamic Republic of...",Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
143,25-34,man,India,No,university educated,0-3 years,none,data role,"under $30,000"
144,35-44,man,Cameroon,No,university educated,none,unknown,data role,"under $30,000"
145,45-54,man,Brazil,Yes,university educated,0-3 years,unknown,unknown/unemployed,
146,18-24,man,United States of America,No,university educated,3-10 years,unknown,unknown/unemployed,
147,18-24,woman,Pakistan,Yes,no university,0-3 years,none,unknown/unemployed,
148,25-34,man,Brazil,Yes,university educated,10+ years,5+ years,unknown/unemployed,
149,25-34,man,Pakistan,No,university educated,none,unknown,data role,
150,18-24,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
151,35-44,man,Brazil,No,no university,0-3 years,0-2 years,data role,
152,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
153,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
154,25-34,woman,Israel,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
155,45-54,woman,Spain,No,university educated,0-3 years,none,non data role,"$30,000-$69,999"
156,18-24,man,China,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
157,25-34,woman,India,No,university educated,0-3 years,none,non data role,"under $30,000"
158,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
159,35-44,woman,Nigeria,No,university educated,0-3 years,none,data role,"under $30,000"
160,25-34,man,Japan,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
161,25-34,man,India,No,university educated,0-3 years,2-5 years,data role,"under $30,000"
162,25-34,man,India,Yes,unknown,none,unknown,unknown/unemployed,
163,25-34,man,Turkey,No,no university,0-3 years,none,data role,"under $30,000"
164,45-54,man,United States of America,No,no university,3-10 years,0-2 years,data role,"$70,000-$124,999"
165,35-44,man,India,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
166,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
167,25-34,man,Italy,No,university educated,0-3 years,unknown,unknown/unemployed,
168,18-24,man,Tunisia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
169,18-24,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
170,18-24,man,United States of America,No,university educated,3-10 years,0-2 years,unknown/unemployed,
171,18-24,man,Nigeria,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
172,35-44,man,Peru,Yes,unknown,0-3 years,none,unknown/unemployed,
173,45-54,man,India,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
174,25-34,woman,United States of America,No,university educated,3-10 years,unknown,unknown/unemployed,
175,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
176,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
177,45-54,man,South Korea,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
178,25-34,woman,Germany,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
179,35-44,woman,India,No,unknown,3-10 years,unknown,unknown/unemployed,
180,25-34,woman,Colombia,Yes,unknown,none,unknown,unknown/unemployed,
181,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
182,18-24,man,Pakistan,Yes,no university,0-3 years,none,unknown/unemployed,
183,18-24,man,Russia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
184,25-34,man,Nepal,Yes,university educated,3-10 years,none,unknown/unemployed,
185,35-44,man,Other,No,university educated,10+ years,5+ years,data role,
186,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
187,45-54,man,Spain,Yes,no university,0-3 years,none,unknown/unemployed,
188,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
189,25-34,man,Morocco,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
190,25-34,woman,India,No,unknown,10+ years,unknown,unknown/unemployed,
191,18-24,man,Colombia,No,university educated,0-3 years,none,unknown/unemployed,
192,55+,man,Colombia,No,university educated,3-10 years,0-2 years,unknown/unemployed,
193,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,
194,45-54,man,Japan,No,unknown,10+ years,2-5 years,non data role,"$70,000-$124,999"
195,18-24,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
196,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
197,18-24,woman,Indonesia,Yes,university educated,none,unknown,unknown/unemployed,
198,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"$30,000-$69,999"
199,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
200,18-24,woman,India,Yes,unknown,0-3 years,unknown,unknown/unemployed,
201,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
202,25-34,man,Other,No,university educated,none,unknown,non data role,"under $30,000"
203,18-24,man,India,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
204,25-34,man,India,No,no university,3-10 years,0-2 years,data role,"under $30,000"
205,55+,man,Argentina,No,university educated,10+ years,5+ years,unknown/unemployed,
206,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
207,25-34,man,China,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
208,45-54,man,United States of America,No,university educated,10+ years,0-2 years,non data role,"$70,000-$124,999"
209,18-24,man,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
210,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
211,45-54,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
212,18-24,man,Peru,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
213,18-24,man,Turkey,No,university educated,3-10 years,none,data role,"$30,000-$69,999"
214,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
215,35-44,man,India,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
216,18-24,other,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
217,25-34,other,India,No,university educated,none,unknown,non data role,"under $30,000"
218,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
219,25-34,woman,South Africa,Yes,no university,none,unknown,unknown/unemployed,
220,45-54,man,Japan,No,university educated,0-3 years,0-2 years,non data role,"$125,000+"
221,18-24,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
222,18-24,man,Nigeria,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
223,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
224,25-34,woman,Turkey,No,university educated,none,unknown,non data role,"under $30,000"
225,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
226,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
227,25-34,woman,Colombia,Yes,university educated,none,unknown,unknown/unemployed,
228,18-24,man,China,Yes,university educated,3-10 years,none,unknown/unemployed,
229,25-34,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
230,18-24,man,India,No,university educated,0-3 years,none,non data role,"under $30,000"
231,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
232,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
233,25-34,man,Canada,Yes,university educated,0-3 years,none,unknown/unemployed,
234,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
235,18-24,man,Nepal,Yes,university educated,0-3 years,none,unknown/unemployed,
236,25-34,man,Taiwan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
237,45-54,man,Other,No,university educated,10+ years,2-5 years,non data role,
238,45-54,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,10+ years,5+ years,non data role,"$125,000+"
239,45-54,man,Japan,No,university educated,0-3 years,2-5 years,unknown/unemployed,
240,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
241,45-54,man,United States of America,No,university educated,10+ years,0-2 years,data role,"$125,000+"
242,18-24,other,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
243,25-34,man,Israel,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
244,45-54,woman,India,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
245,35-44,man,India,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
246,35-44,man,United States of America,No,no university,0-3 years,0-2 years,unknown/unemployed,
247,25-34,man,Ethiopia,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
248,25-34,man,Other,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
249,25-34,woman,Canada,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
250,35-44,man,Argentina,Yes,university educated,10+ years,none,unknown/unemployed,
251,25-34,woman,Turkey,No,unknown,3-10 years,5+ years,data role,"under $30,000"
252,25-34,woman,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
253,18-24,man,Kenya,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
254,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
255,25-34,woman,Tunisia,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
256,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
257,35-44,man,Colombia,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
258,25-34,man,Philippines,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
259,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
260,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
261,25-34,man,Japan,No,university educated,0-3 years,unknown,unknown/unemployed,
262,45-54,woman,Egypt,No,university educated,10+ years,0-2 years,data role,"under $30,000"
263,25-34,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
264,25-34,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
265,35-44,man,Chile,No,no university,0-3 years,0-2 years,non data role,"under $30,000"
266,35-44,man,Brazil,No,university educated,10+ years,none,non data role,
267,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
268,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
269,35-44,man,Brazil,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
270,45-54,man,Colombia,No,no university,none,unknown,non data role,"under $30,000"
271,45-54,man,Ecuador,Yes,university educated,none,unknown,unknown/unemployed,
272,55+,man,Japan,No,unknown,10+ years,2-5 years,data role,"under $30,000"
273,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
274,45-54,man,South Korea,No,unknown,10+ years,2-5 years,non data role,"$70,000-$124,999"
275,25-34,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
276,25-34,man,Nigeria,No,university educated,0-3 years,0-2 years,unknown/unemployed,
277,25-34,man,India,Yes,unknown,0-3 years,none,unknown/unemployed,
278,18-24,woman,Viet Nam,Yes,university educated,none,unknown,unknown/unemployed,
279,35-44,woman,United States of America,No,university educated,none,unknown,data role,"under $30,000"
280,35-44,woman,United States of America,No,university educated,0-3 years,none,unknown/unemployed,
281,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
282,18-24,man,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
283,25-34,man,Indonesia,No,university educated,3-10 years,none,non data role,"$30,000-$69,999"
284,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
285,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
286,35-44,man,Japan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
287,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
288,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
289,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
290,35-44,man,Japan,No,university educated,10+ years,5+ years,data role,"$70,000-$124,999"
291,55+,man,India,No,university educated,none,unknown,data role,"under $30,000"
292,25-34,man,Canada,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
293,18-24,woman,Pakistan,Yes,university educated,0-3 years,none,unknown/unemployed,
294,25-34,man,Chile,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
295,18-24,woman,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
296,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
297,45-54,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
298,45-54,woman,India,No,university educated,10+ years,5+ years,unknown/unemployed,
299,35-44,woman,Peru,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
300,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
301,18-24,man,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
302,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
303,18-24,woman,Other,No,university educated,3-10 years,2-5 years,data role,
304,45-54,man,Thailand,No,university educated,none,unknown,non data role,"$30,000-$69,999"
305,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
306,25-34,man,Egypt,No,university educated,0-3 years,0-2 years,data role,
307,35-44,man,United Arab Emirates,No,university educated,10+ years,0-2 years,unknown/unemployed,
308,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
309,25-34,man,Egypt,No,unknown,none,unknown,data role,"under $30,000"
310,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
311,45-54,man,Spain,No,university educated,0-3 years,0-2 years,non data role,"$30,000-$69,999"
312,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
313,45-54,man,Colombia,Yes,unknown,unknown,unknown,unknown/unemployed,
314,35-44,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
315,25-34,man,Israel,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
316,25-34,man,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
317,25-34,man,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
318,45-54,man,United States of America,Yes,university educated,none,unknown,unknown/unemployed,
319,18-24,man,United States of America,No,university educated,0-3 years,none,data role,"$30,000-$69,999"
320,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
321,25-34,man,Japan,No,university educated,none,unknown,non data role,"$30,000-$69,999"
322,18-24,man,India,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
323,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
324,18-24,man,Colombia,Yes,no university,none,unknown,unknown/unemployed,
325,25-34,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
326,25-34,man,Germany,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
327,25-34,man,Cameroon,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
328,25-34,man,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
329,18-24,woman,Egypt,No,university educated,0-3 years,2-5 years,data role,"under $30,000"
330,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
331,35-44,woman,"Iran, Islamic Republic of...",No,university educated,0-3 years,2-5 years,data role,"under $30,000"
332,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
333,18-24,man,Bangladesh,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
334,18-24,woman,India,Yes,unknown,0-3 years,none,unknown/unemployed,
335,45-54,woman,United States of America,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
336,35-44,man,United States of America,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
337,35-44,man,Other,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
338,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
339,18-24,man,Taiwan,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
340,18-24,man,India,Yes,university educated,3-10 years,unknown,unknown/unemployed,
341,35-44,man,Chile,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
342,55+,man,United States of America,No,university educated,10+ years,2-5 years,non data role,"$125,000+"
343,55+,man,Netherlands,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
344,25-34,man,Zimbabwe,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
345,25-34,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
346,25-34,man,Ghana,No,university educated,none,unknown,data role,"under $30,000"
347,45-54,man,Ethiopia,Yes,university educated,none,unknown,unknown/unemployed,
